Fitness;Mutation;Crossover;Selection;Generations;Alg;Map;MapType;Heuristic;Diagonal;Solution;Time;MaxNodes;PathLength;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;39;Genetic Algorithm;8;WithPattern;Euclidean;OnlyWhenNoObstacles;Yes;1289;762;7;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;44;Genetic Algorithm;8;WithPattern;Octile;OnlyWhenNoObstacles;Yes;1440;923;9;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;29;Genetic Algorithm;8;WithPattern;Chebyshev;OnlyWhenNoObstacles;Yes;700;783;6;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;248;Genetic Algorithm;9;WithPattern;Manhattan;OnlyWhenNoObstacles;Yes;8904;1155;8,82842712474619;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;268;Genetic Algorithm;9;WithPattern;Euclidean;OnlyWhenNoObstacles;Yes;18525;2084;17,6568542494924;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;146;Genetic Algorithm;9;WithPattern;Octile;OnlyWhenNoObstacles;Yes;5423;1153;15,2426406871193;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;173;Genetic Algorithm;9;WithPattern;Chebyshev;OnlyWhenNoObstacles;Yes;8263;1736;21,6568542494924;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;100;Genetic Algorithm;10;WithPattern;Manhattan;OnlyWhenNoObstacles;Yes;2944;893;8,4142135623731;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;432;Genetic Algorithm;10;WithPattern;Euclidean;OnlyWhenNoObstacles;Yes;56662;5361;59,3847763108502;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;173;Genetic Algorithm;10;WithPattern;Octile;OnlyWhenNoObstacles;Yes;6403;1317;8,24264068711929;
