Alg;Map;MapType;Heuristic;Diagonal;Solution;Time;MaxNodes;PathLength;
Best First Search;3;WithPattern;Euclidean;OnlyWhenNoObstacles;Yes;2;254;127,497474683058;
Best First Search;3;WithPattern;Octile;OnlyWhenNoObstacles;Yes;2;254;127,497474683058;
Best First Search;3;WithPattern;Chebyshev;OnlyWhenNoObstacles;Yes;3;310;129,497474683058;
IDA* (IDA Star);3;WithPattern;Manhattan;OnlyWhenNoObstacles;No;5001;0;-1;
IDA* (IDA Star);3;WithPattern;Euclidean;OnlyWhenNoObstacles;No;5001;0;-1;
IDA* (IDA Star);3;WithPattern;Octile;OnlyWhenNoObstacles;No;5001;0;-1;
IDA* (IDA Star);3;WithPattern;Chebyshev;OnlyWhenNoObstacles;No;5001;0;-1;
Dijkstra;3;WithPattern;Manhattan;OnlyWhenNoObstacles;Yes;1401;6998;127,497474683058;
Dijkstra;3;WithPattern;Euclidean;OnlyWhenNoObstacles;Yes;1380;6998;127,497474683058;
Dijkstra;3;WithPattern;Octile;OnlyWhenNoObstacles;Yes;1378;6998;127,497474683058;
Dijkstra;3;WithPattern;Chebyshev;OnlyWhenNoObstacles;Yes;1403;6998;127,497474683058;
A* (A Star);4;WithPattern;Manhattan;OnlyWhenNoObstacles;Yes;152;2487;122,313708498985;
A* (A Star);4;WithPattern;Euclidean;OnlyWhenNoObstacles;Yes;208;2991;122,313708498985;
A* (A Star);4;WithPattern;Octile;OnlyWhenNoObstacles;Yes;195;2872;122,313708498985;
A* (A Star);4;WithPattern;Chebyshev;OnlyWhenNoObstacles;Yes;265;3278;122,313708498985;
Best First Search;4;WithPattern;Manhattan;OnlyWhenNoObstacles;Yes;3;319;127,284271247462;
Best First Search;4;WithPattern;Euclidean;OnlyWhenNoObstacles;Yes;2;300;127,284271247462;
Best First Search;4;WithPattern;Octile;OnlyWhenNoObstacles;Yes;2;288;131,526911934581;
Best First Search;4;WithPattern;Chebyshev;OnlyWhenNoObstacles;Yes;2;288;125,727922061358;
IDA* (IDA Star);4;WithPattern;Manhattan;OnlyWhenNoObstacles;No;5001;0;-1;
IDA* (IDA Star);4;WithPattern;Euclidean;OnlyWhenNoObstacles;No;5001;0;-1;
IDA* (IDA Star);4;WithPattern;Octile;OnlyWhenNoObstacles;No;5001;0;-1;
IDA* (IDA Star);4;WithPattern;Chebyshev;OnlyWhenNoObstacles;No;5001;0;-1;
Dijkstra;4;WithPattern;Manhattan;OnlyWhenNoObstacles;Yes;820;5970;122,313708498985;
Dijkstra;4;WithPattern;Euclidean;OnlyWhenNoObstacles;Yes;831;5970;122,313708498985;
Dijkstra;4;WithPattern;Octile;OnlyWhenNoObstacles;Yes;838;5970;122,313708498985;
Dijkstra;4;WithPattern;Chebyshev;OnlyWhenNoObstacles;Yes;824;5970;122,313708498985;
A* (A Star);5;WithPattern;Manhattan;OnlyWhenNoObstacles;Yes;1;231;101,870057685089;
A* (A Star);5;WithPattern;Euclidean;OnlyWhenNoObstacles;Yes;109;2167;101,870057685089;
A* (A Star);5;WithPattern;Octile;OnlyWhenNoObstacles;Yes;78;1844;101,870057685089;
A* (A Star);5;WithPattern;Chebyshev;OnlyWhenNoObstacles;Yes;125;2340;101,870057685089;
Best First Search;5;WithPattern;Manhattan;OnlyWhenNoObstacles;Yes;1;221;101,870057685089;
Best First Search;5;WithPattern;Euclidean;OnlyWhenNoObstacles;Yes;1;214;105,284271247462;
Best First Search;5;WithPattern;Octile;OnlyWhenNoObstacles;Yes;1;219;101,870057685089;
Best First Search;5;WithPattern;Chebyshev;OnlyWhenNoObstacles;Yes;1;198;105,284271247462;
IDA* (IDA Star);5;WithPattern;Manhattan;OnlyWhenNoObstacles;Yes;0;0;105,284271247462;
IDA* (IDA Star);5;WithPattern;Euclidean;OnlyWhenNoObstacles;No;5001;0;-1;
