Alg;Map;MapType;Heuristic;Diagonal;Solution;Time;MaxNodes;PathLength;
Best First Search;7;File;Euclidean;Never;Yes;0;404;48;
Best First Search;7;File;Octile;Never;Yes;0;404;48;
Best First Search;7;File;Chebyshev;Never;Yes;0;404;46;
Dijkstra;7;File;Manhattan;Never;Yes;33;1366;46;
Dijkstra;7;File;Euclidean;Never;Yes;34;1366;46;
Dijkstra;7;File;Octile;Never;Yes;32;1366;46;
Dijkstra;7;File;Chebyshev;Never;Yes;34;1366;46;
A* (A Star);8;File;Manhattan;Never;Yes;10;638;72;
A* (A Star);8;File;Euclidean;Never;Yes;15;853;72;
A* (A Star);8;File;Octile;Never;Yes;15;853;72;
A* (A Star);8;File;Chebyshev;Never;Yes;16;927;72;
Best First Search;8;File;Manhattan;Never;Yes;1;927;90;
Best First Search;8;File;Euclidean;Never;Yes;1;927;84;
Best First Search;8;File;Octile;Never;Yes;0;927;84;
Best First Search;8;File;Chebyshev;Never;Yes;0;927;72;
Dijkstra;8;File;Manhattan;Never;Yes;42;1609;72;
Dijkstra;8;File;Euclidean;Never;Yes;41;1609;72;
Dijkstra;8;File;Octile;Never;Yes;43;1609;72;
Dijkstra;8;File;Chebyshev;Never;Yes;42;1609;72;
A* (A Star);9;File;Manhattan;Never;Yes;0;131;24;
A* (A Star);9;File;Euclidean;Never;Yes;0;162;24;
A* (A Star);9;File;Octile;Never;Yes;0;162;24;
A* (A Star);9;File;Chebyshev;Never;Yes;0;196;24;
Best First Search;9;File;Manhattan;Never;Yes;0;196;26;
Best First Search;9;File;Euclidean;Never;Yes;0;196;24;
Best First Search;9;File;Octile;Never;Yes;0;196;24;
Best First Search;9;File;Chebyshev;Never;Yes;0;196;24;
Dijkstra;9;File;Manhattan;Never;Yes;11;716;24;
Dijkstra;9;File;Euclidean;Never;Yes;11;716;24;
Dijkstra;9;File;Octile;Never;Yes;9;716;24;
Dijkstra;9;File;Chebyshev;Never;Yes;10;716;24;
A* (A Star);10;File;Manhattan;Never;Yes;33;1225;99;
A* (A Star);10;File;Euclidean;Never;Yes;71;1992;99;
A* (A Star);10;File;Octile;Never;Yes;63;1992;99;
A* (A Star);10;File;Chebyshev;Never;Yes;104;2459;99;
Best First Search;10;File;Manhattan;Never;Yes;1;2459;103;
Best First Search;10;File;Euclidean;Never;Yes;1;2459;99;
Best First Search;10;File;Octile;Never;Yes;0;2459;99;
Best First Search;10;File;Chebyshev;Never;Yes;1;2459;103;
Dijkstra;10;File;Manhattan;Never;Yes;290;4440;99;
Dijkstra;10;File;Euclidean;Never;Yes;289;4440;99;
Dijkstra;10;File;Octile;Never;Yes;291;4440;99;
Dijkstra;10;File;Chebyshev;Never;Yes;286;4440;99;
A* (A Star);11;File;Manhattan;Never;Yes;8;562;112;
A* (A Star);11;File;Euclidean;Never;Yes;70;2002;112;
A* (A Star);11;File;Octile;Never;Yes;61;2002;112;
A* (A Star);11;File;Chebyshev;Never;Yes;80;2232;112;
Best First Search;11;File;Manhattan;Never;Yes;2;2232;144;
Best First Search;11;File;Euclidean;Never;Yes;1;2232;118;
Best First Search;11;File;Octile;Never;Yes;2;2232;120;
Best First Search;11;File;Chebyshev;Never;Yes;1;2232;118;
Dijkstra;11;File;Manhattan;Never;Yes;333;4824;112;
Dijkstra;11;File;Euclidean;Never;Yes;333;4824;112;
Dijkstra;11;File;Octile;Never;Yes;333;4824;112;
Dijkstra;11;File;Chebyshev;Never;Yes;332;4824;112;
A* (A Star);12;File;Manhattan;Never;Yes;4;404;53;
A* (A Star);12;File;Euclidean;Never;Yes;9;648;53;
A* (A Star);12;File;Octile;Never;Yes;8;648;53;
A* (A Star);12;File;Chebyshev;Never;Yes;11;745;53;
Best First Search;12;File;Manhattan;Never;Yes;0;745;53;
Best First Search;12;File;Euclidean;Never;Yes;0;745;53;
Best First Search;12;File;Octile;Never;Yes;0;745;71;
Best First Search;12;File;Chebyshev;Never;Yes;0;745;53;
Dijkstra;12;File;Manhattan;Never;Yes;129;2790;53;
