alg;map;heuristic;diagonal;solution;time;maxNodes;pathLength;
Best First Search;4;Chebyshev;OnlyWhenNoObstacles;Yes (2ms );2;137;58,556349186104;
Dijkstra;4;Manhattan;OnlyWhenNoObstacles;Yes (402ms );402;1738;56,556349186104;
Dijkstra;4;Euclidean;OnlyWhenNoObstacles;Yes (399ms );399;1738;56,556349186104;
Dijkstra;4;Octile;OnlyWhenNoObstacles;Yes (402ms );402;1738;56,556349186104;
Dijkstra;4;Chebyshev;OnlyWhenNoObstacles;Yes (403ms );403;1738;56,556349186104;
A* (A Star);5;Manhattan;OnlyWhenNoObstacles;Yes (48ms );48;598;68,4558441227157;
A* (A Star);5;Euclidean;OnlyWhenNoObstacles;Yes (120ms );120;947;66,2132034355964;
A* (A Star);5;Octile;OnlyWhenNoObstacles;Yes (86ms );86;826;66,2132034355964;
A* (A Star);5;Chebyshev;OnlyWhenNoObstacles;Yes (212ms );212;1216;66,2132034355964;
Best First Search;5;Manhattan;OnlyWhenNoObstacles;Yes (8ms );8;268;85,2842712474619;
Best First Search;5;Euclidean;OnlyWhenNoObstacles;Yes (2ms );2;163;67,0416305603426;
Best First Search;5;Octile;OnlyWhenNoObstacles;Yes (4ms );4;167;67,0416305603426;
Best First Search;5;Chebyshev;OnlyWhenNoObstacles;Yes (6ms );6;232;73,4852813742386;
Dijkstra;5;Manhattan;OnlyWhenNoObstacles;Yes (885ms );885;2501;66,2132034355964;
Dijkstra;5;Euclidean;OnlyWhenNoObstacles;Yes (888ms );888;2501;66,2132034355964;
Dijkstra;5;Octile;OnlyWhenNoObstacles;Yes (889ms );889;2501;66,2132034355964;
Dijkstra;5;Chebyshev;OnlyWhenNoObstacles;Yes (888ms );888;2501;66,2132034355964;
A* (A Star);6;Manhattan;OnlyWhenNoObstacles;Yes (8ms );8;290;81,4558441227157;
A* (A Star);6;Euclidean;OnlyWhenNoObstacles;Yes (167ms );167;1128;81,4558441227157;
A* (A Star);6;Octile;OnlyWhenNoObstacles;Yes (117ms );117;952;81,4558441227157;
A* (A Star);6;Chebyshev;OnlyWhenNoObstacles;Yes (281ms );281;1438;81,4558441227157;
Best First Search;6;Manhattan;OnlyWhenNoObstacles;Yes (3ms );3;185;85,1126983722081;
Best First Search;6;Euclidean;OnlyWhenNoObstacles;Yes (3ms );3;193;91,1126983722081;
Best First Search;6;Octile;OnlyWhenNoObstacles;Yes (3ms );3;191;84,1837661840735;
Best First Search;6;Chebyshev;OnlyWhenNoObstacles;Yes (5ms );5;223;85,7989898732233;
Dijkstra;6;Manhattan;OnlyWhenNoObstacles;Yes (3300ms );3300;4692;81,4558441227157;
Dijkstra;6;Euclidean;OnlyWhenNoObstacles;Yes (3248ms );3248;4692;81,4558441227157;
Dijkstra;6;Octile;OnlyWhenNoObstacles;Yes (3252ms );3252;4692;81,4558441227157;
Dijkstra;6;Chebyshev;OnlyWhenNoObstacles;Yes (3315ms );3315;4692;81,4558441227157;
A* (A Star);7;Manhattan;OnlyWhenNoObstacles;Yes (0ms );0;67;16,6568542494924;
A* (A Star);7;Euclidean;OnlyWhenNoObstacles;Yes (1ms );1;95;16,6568542494924;
A* (A Star);7;Octile;OnlyWhenNoObstacles;Yes (0ms );0;93;16,6568542494924;
A* (A Star);7;Chebyshev;OnlyWhenNoObstacles;Yes (1ms );1;97;16,6568542494924;
Best First Search;7;Manhattan;OnlyWhenNoObstacles;Yes (0ms );0;51;16,6568542494924;
Best First Search;7;Euclidean;OnlyWhenNoObstacles;Yes (0ms );0;51;16,6568542494924;
Best First Search;7;Octile;OnlyWhenNoObstacles;Yes (0ms );0;51;16,6568542494924;
Best First Search;7;Chebyshev;OnlyWhenNoObstacles;Yes (0ms );0;53;16,6568542494924;
Dijkstra;7;Manhattan;OnlyWhenNoObstacles;Yes (14ms );14;330;16,6568542494924;
Dijkstra;7;Euclidean;OnlyWhenNoObstacles;Yes (14ms );14;330;16,6568542494924;
Dijkstra;7;Octile;OnlyWhenNoObstacles;Yes (13ms );13;330;16,6568542494924;
Dijkstra;7;Chebyshev;OnlyWhenNoObstacles;Yes (13ms );13;330;16,6568542494924;
A* (A Star);8;Manhattan;OnlyWhenNoObstacles;Yes (1ms );1;90;33,8994949366117;
A* (A Star);8;Euclidean;OnlyWhenNoObstacles;Yes (5ms );5;188;33,3137084989848;
A* (A Star);8;Octile;OnlyWhenNoObstacles;Yes (4ms );4;170;33,3137084989848;
A* (A Star);8;Chebyshev;OnlyWhenNoObstacles;Yes (9ms );9;253;33,3137084989848;
Best First Search;8;Manhattan;OnlyWhenNoObstacles;Yes (1ms );1;80;35,5563491861041;
Best First Search;8;Euclidean;OnlyWhenNoObstacles;Yes (0ms );0;73;34,142135623731;
Best First Search;8;Octile;OnlyWhenNoObstacles;Yes (0ms );0;73;34,142135623731;
Best First Search;8;Chebyshev;OnlyWhenNoObstacles;Yes (1ms );1;102;44,7279220613578;
Dijkstra;8;Manhattan;OnlyWhenNoObstacles;Yes (251ms );251;1342;33,3137084989848;
Dijkstra;8;Euclidean;OnlyWhenNoObstacles;Yes (257ms );257;1342;33,3137084989848;
Dijkstra;8;Octile;OnlyWhenNoObstacles;Yes (254ms );254;1342;33,3137084989848;
Dijkstra;8;Chebyshev;OnlyWhenNoObstacles;Yes (253ms );253;1342;33,3137084989848;
A* (A Star);9;Manhattan;OnlyWhenNoObstacles;Yes (28ms );28;450;115,254833995939;
A* (A Star);9;Euclidean;OnlyWhenNoObstacles;Yes (696ms );696;2240;111,01219330882;
A* (A Star);9;Octile;OnlyWhenNoObstacles;Yes (507ms );507;1913;111,01219330882;
A* (A Star);9;Chebyshev;OnlyWhenNoObstacles;Yes (912ms );912;2574;111,01219330882;
Best First Search;9;Manhattan;OnlyWhenNoObstacles;Yes (9ms );9;300;129,840620433566;
Best First Search;9;Euclidean;OnlyWhenNoObstacles;Yes (9ms );9;294;127,254833995939;
Best First Search;9;Octile;OnlyWhenNoObstacles;Yes (9ms );9;298;127,254833995939;
Best First Search;9;Chebyshev;OnlyWhenNoObstacles;Yes (9ms );9;300;120,284271247462;
Dijkstra;9;Manhattan;OnlyWhenNoObstacles;Yes (4410ms );4410;5534;111,01219330882;
Dijkstra;9;Euclidean;OnlyWhenNoObstacles;Yes (4419ms );4419;5534;111,01219330882;
Dijkstra;9;Octile;OnlyWhenNoObstacles;Yes (4430ms );4430;5534;111,01219330882;
Dijkstra;9;Chebyshev;OnlyWhenNoObstacles;Yes (4408ms );4408;5534;111,01219330882;
A* (A Star);10;Manhattan;OnlyWhenNoObstacles;Yes (2ms );2;162;52,6274169979695;
A* (A Star);10;Euclidean;OnlyWhenNoObstacles;Yes (33ms );33;486;52,6274169979695;
A* (A Star);10;Octile;OnlyWhenNoObstacles;Yes (25ms );25;419;52,6274169979695;
A* (A Star);10;Chebyshev;OnlyWhenNoObstacles;Yes (55ms );55;626;52,6274169979695;
Best First Search;10;Manhattan;OnlyWhenNoObstacles;Yes (8ms );8;263;68,8700576850888;
Best First Search;10;Euclidean;OnlyWhenNoObstacles;Yes (2ms );2;150;52,6274169979695;
Best First Search;10;Octile;OnlyWhenNoObstacles;Yes (2ms );2;150;52,6274169979695;
Best First Search;10;Chebyshev;OnlyWhenNoObstacles;Yes (2ms );2;153;54,0416305603426;
Dijkstra;10;Manhattan;OnlyWhenNoObstacles;Yes (677ms );677;2174;52,6274169979695;
Dijkstra;10;Euclidean;OnlyWhenNoObstacles;Yes (683ms );683;2174;52,6274169979695;
Dijkstra;10;Octile;OnlyWhenNoObstacles;Yes (676ms );676;2174;52,6274169979695;
Dijkstra;10;Chebyshev;OnlyWhenNoObstacles;Yes (675ms );675;2174;52,6274169979695;
A* (A Star);11;Manhattan;OnlyWhenNoObstacles;Yes (5ms );5;194;51,3137084989848;
A* (A Star);11;Euclidean;OnlyWhenNoObstacles;Yes (10ms );10;291;51,3137084989848;
A* (A Star);11;Octile;OnlyWhenNoObstacles;Yes (6ms );6;232;51,3137084989848;
A* (A Star);11;Chebyshev;OnlyWhenNoObstacles;Yes (13ms );13;321;51,3137084989848;
Best First Search;11;Manhattan;OnlyWhenNoObstacles;Yes (1ms );1;120;51,3137084989848;
Best First Search;11;Euclidean;OnlyWhenNoObstacles;Yes (1ms );1;115;51,8994949366117;
Best First Search;11;Octile;OnlyWhenNoObstacles;Yes (1ms );1;115;51,8994949366117;
Best First Search;11;Chebyshev;OnlyWhenNoObstacles;Yes (1ms );1;135;61,556349186104;
Dijkstra;11;Manhattan;OnlyWhenNoObstacles;Yes (220ms );220;1246;51,3137084989848;
