Alg;Map;MapType;Heuristic;Diagonal;Solution;Time;MaxNodes;PathLength;
Dijkstra;4;WithPattern;Euclidean;Never;Yes;331;4625;95;
Dijkstra;4;WithPattern;Octile;Never;Yes;338;4625;95;
Dijkstra;4;WithPattern;Chebyshev;Never;Yes;343;4625;95;
A* (A Star);5;WithPattern;Manhattan;Never;Yes;172;2725;119;
A* (A Star);5;WithPattern;Euclidean;Never;Yes;310;3946;119;
A* (A Star);5;WithPattern;Octile;Never;Yes;293;3762;119;
A* (A Star);5;WithPattern;Chebyshev;Never;Yes;379;4385;119;
Best First Search;5;WithPattern;Manhattan;Never;Yes;2;300;145;
Best First Search;5;WithPattern;Euclidean;Never;Yes;2;293;121;
Best First Search;5;WithPattern;Octile;Never;Yes;2;293;121;
Best First Search;5;WithPattern;Chebyshev;Never;Yes;2;293;121;
IDA* (IDA Star);5;WithPattern;Manhattan;Never;Yes;0;0;121;
IDA* (IDA Star);5;WithPattern;Euclidean;Never;No;5001;0;-1;
IDA* (IDA Star);5;WithPattern;Octile;Never;No;5001;0;-1;
IDA* (IDA Star);5;WithPattern;Chebyshev;Never;No;5001;0;-1;
Dijkstra;5;WithPattern;Manhattan;Never;Yes;1000;7298;119;
Dijkstra;5;WithPattern;Euclidean;Never;Yes;998;7298;119;
Dijkstra;5;WithPattern;Octile;Never;Yes;988;7298;119;
Dijkstra;5;WithPattern;Chebyshev;Never;Yes;990;7298;119;
A* (A Star);6;WithPattern;Manhattan;Never;Yes;0;111;35;
A* (A Star);6;WithPattern;Euclidean;Never;Yes;0;112;35;
A* (A Star);6;WithPattern;Octile;Never;Yes;0;111;35;
A* (A Star);6;WithPattern;Chebyshev;Never;Yes;1;113;35;
Best First Search;6;WithPattern;Manhattan;Never;Yes;0;71;35;
Best First Search;6;WithPattern;Euclidean;Never;Yes;0;70;35;
Best First Search;6;WithPattern;Octile;Never;Yes;0;70;35;
Best First Search;6;WithPattern;Chebyshev;Never;Yes;0;70;35;
IDA* (IDA Star);6;WithPattern;Manhattan;Never;Yes;0;0;35;
IDA* (IDA Star);6;WithPattern;Euclidean;Never;Yes;1;0;35;
IDA* (IDA Star);6;WithPattern;Octile;Never;Yes;0;0;35;
IDA* (IDA Star);6;WithPattern;Chebyshev;Never;Yes;0;0;35;
Dijkstra;6;WithPattern;Manhattan;Never;Yes;26;950;35;
Dijkstra;6;WithPattern;Euclidean;Never;Yes;19;950;35;
Dijkstra;6;WithPattern;Octile;Never;Yes;16;950;35;
Dijkstra;6;WithPattern;Chebyshev;Never;Yes;16;950;35;
A* (A Star);7;WithPattern;Manhattan;Never;Yes;2;235;52;
A* (A Star);7;WithPattern;Euclidean;Never;Yes;4;430;52;
A* (A Star);7;WithPattern;Octile;Never;Yes;5;393;52;
A* (A Star);7;WithPattern;Chebyshev;Never;Yes;9;536;52;
Best First Search;7;WithPattern;Manhattan;Never;Yes;0;113;52;
Best First Search;7;WithPattern;Euclidean;Never;Yes;0;109;54;
Best First Search;7;WithPattern;Octile;Never;Yes;0;109;54;
Best First Search;7;WithPattern;Chebyshev;Never;Yes;0;111;54;
IDA* (IDA Star);7;WithPattern;Manhattan;Never;Yes;0;0;54;
IDA* (IDA Star);7;WithPattern;Euclidean;Never;No;5001;0;-1;
IDA* (IDA Star);7;WithPattern;Octile;Never;Yes;94;0;54;
IDA* (IDA Star);7;WithPattern;Chebyshev;Never;No;5001;0;-1;
Dijkstra;7;WithPattern;Manhattan;Never;Yes;27;1266;52;
Dijkstra;7;WithPattern;Euclidean;Never;Yes;27;1266;52;
Dijkstra;7;WithPattern;Octile;Never;Yes;27;1266;52;
Dijkstra;7;WithPattern;Chebyshev;Never;Yes;29;1266;52;
A* (A Star);8;WithPattern;Manhattan;Never;Yes;2;235;52;
A* (A Star);8;WithPattern;Euclidean;Never;Yes;4;430;52;
A* (A Star);8;WithPattern;Octile;Never;Yes;5;393;52;
A* (A Star);8;WithPattern;Chebyshev;Never;Yes;7;536;52;
Best First Search;8;WithPattern;Manhattan;Never;Yes;0;113;52;
Best First Search;8;WithPattern;Euclidean;Never;Yes;3;109;54;
Best First Search;8;WithPattern;Octile;Never;Yes;0;109;54;
Best First Search;8;WithPattern;Chebyshev;Never;Yes;0;111;54;
IDA* (IDA Star);8;WithPattern;Manhattan;Never;Yes;0;0;54;
IDA* (IDA Star);8;WithPattern;Euclidean;Never;No;5001;0;-1;
IDA* (IDA Star);8;WithPattern;Octile;Never;Yes;52;0;54;
IDA* (IDA Star);8;WithPattern;Chebyshev;Never;No;5001;0;-1;
Dijkstra;8;WithPattern;Manhattan;Never;Yes;26;1266;52;
Dijkstra;8;WithPattern;Euclidean;Never;Yes;26;1266;52;
Dijkstra;8;WithPattern;Octile;Never;Yes;26;1266;52;
Dijkstra;8;WithPattern;Chebyshev;Never;Yes;25;1266;52;
A* (A Star);9;WithPattern;Manhattan;Never;Yes;0;163;34;
A* (A Star);9;WithPattern;Euclidean;Never;Yes;1;259;34;
A* (A Star);9;WithPattern;Octile;Never;Yes;2;236;34;
A* (A Star);9;WithPattern;Chebyshev;Never;Yes;2;328;34;
Best First Search;9;WithPattern;Manhattan;Never;Yes;0;66;36;
Best First Search;9;WithPattern;Euclidean;Never;Yes;0;65;36;
Best First Search;9;WithPattern;Octile;Never;Yes;0;67;36;
Best First Search;9;WithPattern;Chebyshev;Never;Yes;0;62;34;
IDA* (IDA Star);9;WithPattern;Manhattan;Never;Yes;1;0;34;
IDA* (IDA Star);9;WithPattern;Euclidean;Never;No;5001;0;-1;
IDA* (IDA Star);9;WithPattern;Octile;Never;Yes;2363;0;34;
IDA* (IDA Star);9;WithPattern;Chebyshev;Never;No;5001;0;-1;
