Alg;Map;MapType;Heuristic;Diagonal;Solution;Time;MaxNodes;PathLength;
IDA* (IDA Star);3;Random;Octile;IfAtMostOneObstacle;No;5001;0;-1;
IDA* (IDA Star);3;Random;Chebyshev;IfAtMostOneObstacle;No;5001;0;-1;
Dijkstra;3;Random;Manhattan;IfAtMostOneObstacle;Yes;900;5424;88,7401153701775;
Dijkstra;3;Random;Euclidean;IfAtMostOneObstacle;Yes;895;5424;88,7401153701775;
Dijkstra;3;Random;Octile;IfAtMostOneObstacle;Yes;896;5424;88,7401153701775;
Dijkstra;3;Random;Chebyshev;IfAtMostOneObstacle;Yes;893;5424;88,7401153701775;
A* (A Star);4;Random;Manhattan;IfAtMostOneObstacle;Yes;0;83;27,3847763108502;
A* (A Star);4;Random;Euclidean;IfAtMostOneObstacle;Yes;2;191;27,3847763108502;
A* (A Star);4;Random;Octile;IfAtMostOneObstacle;Yes;1;164;27,3847763108502;
A* (A Star);4;Random;Chebyshev;IfAtMostOneObstacle;Yes;2;256;27,3847763108502;
Best First Search;4;Random;Manhattan;IfAtMostOneObstacle;Yes;0;73;27,3847763108502;
Best First Search;4;Random;Euclidean;IfAtMostOneObstacle;Yes;0;73;27,3847763108502;
Best First Search;4;Random;Octile;IfAtMostOneObstacle;Yes;0;73;27,3847763108502;
Best First Search;4;Random;Chebyshev;IfAtMostOneObstacle;Yes;0;84;30,5563491861041;
IDA* (IDA Star);4;Random;Manhattan;IfAtMostOneObstacle;Yes;0;0;30,5563491861041;
IDA* (IDA Star);4;Random;Euclidean;IfAtMostOneObstacle;No;5001;0;-1;
IDA* (IDA Star);4;Random;Octile;IfAtMostOneObstacle;Yes;35;0;30,5563491861041;
IDA* (IDA Star);4;Random;Chebyshev;IfAtMostOneObstacle;No;5001;0;-1;
Dijkstra;4;Random;Manhattan;IfAtMostOneObstacle;Yes;26;871;27,3847763108502;
Dijkstra;4;Random;Euclidean;IfAtMostOneObstacle;Yes;26;871;27,3847763108502;
Dijkstra;4;Random;Octile;IfAtMostOneObstacle;Yes;25;871;27,3847763108502;
Dijkstra;4;Random;Chebyshev;IfAtMostOneObstacle;Yes;25;871;27,3847763108502;
A* (A Star);5;Random;Manhattan;IfAtMostOneObstacle;Yes;8;412;92,4974746830583;
A* (A Star);5;Random;Euclidean;IfAtMostOneObstacle;Yes;44;1148;92,254833995939;
A* (A Star);5;Random;Octile;IfAtMostOneObstacle;Yes;22;801;92,254833995939;
A* (A Star);5;Random;Chebyshev;IfAtMostOneObstacle;Yes;114;1879;92,254833995939;
Best First Search;5;Random;Manhattan;IfAtMostOneObstacle;Yes;5;353;131,994949366117;
Best First Search;5;Random;Euclidean;IfAtMostOneObstacle;Yes;6;401;134,480230740355;
Best First Search;5;Random;Octile;IfAtMostOneObstacle;Yes;6;407;134,480230740355;
Best First Search;5;Random;Chebyshev;IfAtMostOneObstacle;Yes;3;310;112,497474683058;
IDA* (IDA Star);5;Random;Manhattan;IfAtMostOneObstacle;No;5001;0;-1;
IDA* (IDA Star);5;Random;Euclidean;IfAtMostOneObstacle;No;5001;0;-1;
IDA* (IDA Star);5;Random;Octile;IfAtMostOneObstacle;No;5001;0;-1;
IDA* (IDA Star);5;Random;Chebyshev;IfAtMostOneObstacle;No;5001;0;-1;
Dijkstra;5;Random;Manhattan;IfAtMostOneObstacle;Yes;1232;6371;92,254833995939;
