Alg;Map;MapType;Heuristic;Diagonal;Solution;Time;MaxNodes;PathLength;
Best First Search;7;File;Octile;Never;Yes;0;58;16;
Best First Search;7;File;Chebyshev;Never;Yes;0;58;16;
Dijkstra;7;File;Manhattan;Never;Yes;1;170;16;
Dijkstra;7;File;Euclidean;Never;Yes;1;170;16;
Dijkstra;7;File;Octile;Never;Yes;1;170;16;
Dijkstra;7;File;Chebyshev;Never;Yes;0;170;16;
A* (A Star);8;File;Manhattan;Never;Yes;0;35;13;
A* (A Star);8;File;Euclidean;Never;Yes;0;39;13;
A* (A Star);8;File;Octile;Never;Yes;0;39;13;
A* (A Star);8;File;Chebyshev;Never;Yes;0;49;13;
Best First Search;8;File;Manhattan;Never;Yes;0;49;13;
Best First Search;8;File;Euclidean;Never;Yes;0;49;13;
Best First Search;8;File;Octile;Never;Yes;0;49;13;
Best First Search;8;File;Chebyshev;Never;Yes;0;49;13;
Dijkstra;8;File;Manhattan;Never;Yes;1;159;13;
Dijkstra;8;File;Euclidean;Never;Yes;1;159;13;
Dijkstra;8;File;Octile;Never;Yes;1;159;13;
Dijkstra;8;File;Chebyshev;Never;Yes;1;159;13;
A* (A Star);9;File;Manhattan;Never;Yes;0;40;17;
A* (A Star);9;File;Euclidean;Never;Yes;0;46;17;
A* (A Star);9;File;Octile;Never;Yes;0;46;17;
A* (A Star);9;File;Chebyshev;Never;Yes;0;70;17;
Best First Search;9;File;Manhattan;Never;Yes;0;70;17;
Best First Search;9;File;Euclidean;Never;Yes;0;70;23;
Best First Search;9;File;Octile;Never;Yes;0;70;23;
Best First Search;9;File;Chebyshev;Never;Yes;0;70;23;
Dijkstra;9;File;Manhattan;Never;Yes;1;223;17;
Dijkstra;9;File;Euclidean;Never;Yes;1;223;17;
Dijkstra;9;File;Octile;Never;Yes;1;223;17;
Dijkstra;9;File;Chebyshev;Never;Yes;1;223;17;
A* (A Star);10;File;Manhattan;Never;Yes;0;39;18;
A* (A Star);10;File;Euclidean;Never;Yes;0;70;18;
A* (A Star);10;File;Octile;Never;Yes;0;70;18;
A* (A Star);10;File;Chebyshev;Never;Yes;0;84;18;
Best First Search;10;File;Manhattan;Never;Yes;0;84;18;
Best First Search;10;File;Euclidean;Never;Yes;0;84;24;
Best First Search;10;File;Octile;Never;Yes;0;84;24;
Best First Search;10;File;Chebyshev;Never;Yes;0;84;24;
Dijkstra;10;File;Manhattan;Never;Yes;2;208;18;
Dijkstra;10;File;Euclidean;Never;Yes;2;208;18;
Dijkstra;10;File;Octile;Never;Yes;1;208;18;
Dijkstra;10;File;Chebyshev;Never;Yes;1;208;18;
A* (A Star);11;File;Manhattan;Never;Yes;0;43;14;
A* (A Star);11;File;Euclidean;Never;Yes;0;45;14;
A* (A Star);11;File;Octile;Never;Yes;0;45;14;
A* (A Star);11;File;Chebyshev;Never;Yes;0;60;14;
Best First Search;11;File;Manhattan;Never;Yes;0;60;16;
Best First Search;11;File;Euclidean;Never;Yes;0;60;16;
Best First Search;11;File;Octile;Never;Yes;0;60;16;
