alg;map;heuristic;diagonal;solution;time;maxNodes;pathLength;
Best First Search;5;Manhattan;Never;Yes (1ms );1;76;38;
Best First Search;5;Euclidean;Never;Yes (0ms );0;85;40;
Best First Search;5;Octile;Never;Yes (0ms );0;85;40;
Best First Search;5;Chebyshev;Never;Yes (1ms );1;84;38;
Dijkstra;5;Manhattan;Never;Yes (8ms );8;289;36;
Dijkstra;5;Euclidean;Never;Yes (8ms );8;289;36;
Dijkstra;5;Octile;Never;Yes (12ms );12;289;36;
Dijkstra;5;Chebyshev;Never;Yes (6ms );6;289;36;
IDA* (IDA Star);5;Manhattan;Never;Yes (0ms );0;0;36;
IDA* (IDA Star);5;Euclidean;Never;No;1001;0;-1;
IDA* (IDA Star);5;Octile;Never;No;1001;0;-1;
IDA* (IDA Star);5;Chebyshev;Never;No;1001;0;-1;
A* (A Star);6;Manhattan;Never;Yes (6ms );6;260;45;
A* (A Star);6;Euclidean;Never;Yes (12ms );12;317;45;
A* (A Star);6;Octile;Never;Yes (7ms );7;307;45;
A* (A Star);6;Chebyshev;Never;Yes (12ms );12;349;45;
Best First Search;6;Manhattan;Never;Yes (4ms );4;191;55;
Best First Search;6;Euclidean;Never;Yes (2ms );2;171;55;
Best First Search;6;Octile;Never;Yes (3ms );3;171;55;
Best First Search;6;Chebyshev;Never;Yes (1ms );1;96;55;
Dijkstra;6;Manhattan;Never;Yes (15ms );15;430;45;
Dijkstra;6;Euclidean;Never;Yes (20ms );20;430;45;
Dijkstra;6;Octile;Never;Yes (28ms );28;430;45;
Dijkstra;6;Chebyshev;Never;Yes (15ms );15;430;45;
IDA* (IDA Star);6;Manhattan;Never;No;1001;0;-1;
IDA* (IDA Star);6;Euclidean;Never;No;1001;0;-1;
IDA* (IDA Star);6;Octile;Never;No;1001;0;-1;
IDA* (IDA Star);6;Chebyshev;Never;No;1001;0;-1;
A* (A Star);7;Manhattan;Never;Yes (0ms );0;31;11;
A* (A Star);7;Euclidean;Never;Yes (0ms );0;33;11;
A* (A Star);7;Octile;Never;Yes (0ms );0;33;11;
A* (A Star);7;Chebyshev;Never;Yes (0ms );0;37;11;
Best First Search;7;Manhattan;Never;Yes (0ms );0;26;11;
Best First Search;7;Euclidean;Never;Yes (0ms );0;20;11;
Best First Search;7;Octile;Never;Yes (0ms );0;20;11;
Best First Search;7;Chebyshev;Never;Yes (0ms );0;20;11;
Dijkstra;7;Manhattan;Never;Yes (2ms );2;65;11;
Dijkstra;7;Euclidean;Never;Yes (0ms );0;65;11;
Dijkstra;7;Octile;Never;Yes (0ms );0;65;11;
