Alg;Map;MapType;Heuristic;Diagonal;Solution;Time;MaxNodes;PathLength;
IDA* (IDA Star);4;Random;Manhattan;Always;Yes;924;0;106,225396744416;
IDA* (IDA Star);4;Random;Euclidean;Always;No;5001;0;-1;
IDA* (IDA Star);4;Random;Octile;Always;No;5001;0;-1;
IDA* (IDA Star);4;Random;Chebyshev;Always;No;5001;0;-1;
Dijkstra;4;Random;Manhattan;Always;Yes;1529;6908;97,7817459305201;
Dijkstra;4;Random;Euclidean;Always;Yes;1530;6908;97,7817459305201;
Dijkstra;4;Random;Octile;Always;Yes;1527;6908;97,7817459305201;
Dijkstra;4;Random;Chebyshev;Always;Yes;1529;6908;97,7817459305201;
A* (A Star);5;Random;Manhattan;Always;Yes;0;93;34,6274169979695;
A* (A Star);5;Random;Euclidean;Always;Yes;2;214;34,0416305603426;
A* (A Star);5;Random;Octile;Always;Yes;1;178;34,0416305603426;
A* (A Star);5;Random;Chebyshev;Always;Yes;6;338;34,0416305603426;
Best First Search;5;Random;Manhattan;Always;Yes;0;91;37,698484809835;
Best First Search;5;Random;Euclidean;Always;Yes;0;90;36,2842712474619;
Best First Search;5;Random;Octile;Always;Yes;0;91;37,1126983722081;
Best First Search;5;Random;Chebyshev;Always;Yes;0;97;36,6274169979695;
IDA* (IDA Star);5;Random;Manhattan;Always;Yes;0;0;36,698484809835;
IDA* (IDA Star);5;Random;Euclidean;Always;No;5001;0;-1;
IDA* (IDA Star);5;Random;Octile;Always;Yes;105;0;36,6274169979695;
IDA* (IDA Star);5;Random;Chebyshev;Always;No;5001;0;-1;
Dijkstra;5;Random;Manhattan;Always;Yes;108;1810;34,0416305603426;
Dijkstra;5;Random;Euclidean;Always;Yes;104;1810;34,0416305603426;
Dijkstra;5;Random;Octile;Always;Yes;107;1810;34,0416305603426;
Dijkstra;5;Random;Chebyshev;Always;Yes;105;1810;34,0416305603426;
A* (A Star);6;Random;Manhattan;Always;Yes;0;126;45,698484809835;
A* (A Star);6;Random;Euclidean;Always;Yes;4;313;44,5269119345812;
A* (A Star);6;Random;Octile;Always;Yes;2;220;44,5269119345812;
A* (A Star);6;Random;Chebyshev;Always;Yes;12;533;44,5269119345812;
Best First Search;6;Random;Manhattan;Always;Yes;0;122;48,7695526217005;
Best First Search;6;Random;Euclidean;Always;Yes;0;111;45,9411254969543;
Best First Search;6;Random;Octile;Always;Yes;0;116;46,7695526217005;
Best First Search;6;Random;Chebyshev;Always;Yes;0;111;46,8700576850888;
IDA* (IDA Star);6;Random;Manhattan;Always;Yes;0;0;46,8700576850888;
IDA* (IDA Star);6;Random;Euclidean;Always;No;5001;0;-1;
IDA* (IDA Star);6;Random;Octile;Always;Yes;136;0;46,8700576850888;
IDA* (IDA Star);6;Random;Chebyshev;Always;No;5001;0;-1;
Dijkstra;6;Random;Manhattan;Always;Yes;79;1585;44,5269119345812;
Dijkstra;6;Random;Euclidean;Always;Yes;80;1585;44,5269119345812;
Dijkstra;6;Random;Octile;Always;Yes;81;1585;44,5269119345812;
Dijkstra;6;Random;Chebyshev;Always;Yes;79;1585;44,5269119345812;
A* (A Star);7;Random;Manhattan;Always;Yes;2;184;47,2132034355964;
A* (A Star);7;Random;Euclidean;Always;Yes;5;356;45,7989898732233;
A* (A Star);7;Random;Octile;Always;Yes;2;247;45,7989898732233;
A* (A Star);7;Random;Chebyshev;Always;Yes;14;554;45,7989898732233;
Best First Search;7;Random;Manhattan;Always;Yes;0;130;50,5269119345812;
Best First Search;7;Random;Euclidean;Always;Yes;0;127;49,1126983722081;
Best First Search;7;Random;Octile;Always;Yes;0;127;49,1126983722081;
Best First Search;7;Random;Chebyshev;Always;Yes;0;111;48,8700576850888;
IDA* (IDA Star);7;Random;Manhattan;Always;Yes;1672;0;48,8700576850888;
IDA* (IDA Star);7;Random;Euclidean;Always;No;5001;0;-1;
IDA* (IDA Star);7;Random;Octile;Always;Yes;76;0;48,8700576850888;
IDA* (IDA Star);7;Random;Chebyshev;Always;No;5001;0;-1;
Dijkstra;7;Random;Manhattan;Always;Yes;350;3291;45,7989898732233;
Dijkstra;7;Random;Euclidean;Always;Yes;349;3291;45,7989898732233;
Dijkstra;7;Random;Octile;Always;Yes;352;3291;45,7989898732233;
