alg;map;heuristic;diagonal;solution;time;maxNodes;pathLength;
FitnessWithCirclicValidation;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;1;Euclidean;Never;No;8717;734;-1;
FitnessWithCirclicValidation;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;1;Euclidean;Never;No;11760;1068;-1;
FitnessWithCirclicValidation;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;1;Euclidean;Never;No;12931;900;-1;
FitnessWithCollisionDetectionAndCirclicValidation;MutateEM;CrossoverPBX;SelectionRouletteWheel;289;Genetic Algorithm;1;Euclidean;Never;Yes (6637ms );6637;1776;20;
FitnessWithCollisionDetectionAndCirclicValidation;MutateEM;CrossoverPBX;SelectionRouletteWheel;173;Genetic Algorithm;1;Euclidean;Never;Yes (3670ms );3670;1532;11;
FitnessWithCollisionDetectionAndCirclicValidation;MutateEM;CrossoverPBX;SelectionRouletteWheel;293;Genetic Algorithm;1;Euclidean;Never;Yes (7364ms );7364;1770;22;
FitnessWithCollisionDetectionAndCirclicValidation;MutateEM;CrossoverPBX;SelectionRouletteWheel;103;Genetic Algorithm;1;Euclidean;Never;Yes (1581ms );1581;1006;13;
FitnessWithCirclicValidation;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;1;Octile;Never;No;9285;723;-1;
FitnessWithCirclicValidation;MutateEM;CrossoverPBX;SelectionRouletteWheel;566;Genetic Algorithm;1;Octile;Never;Yes (5484ms );5484;995;7;
FitnessWithCirclicValidation;MutateEM;CrossoverPBX;SelectionRouletteWheel;532;Genetic Algorithm;1;Octile;Never;Yes (6326ms );6326;892;13;
FitnessWithCirclicValidation;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;1;Octile;Never;No;10632;787;-1;
FitnessWithCollisionDetectionAndCirclicValidation;MutateEM;CrossoverPBX;SelectionRouletteWheel;243;Genetic Algorithm;1;Octile;Never;Yes (4510ms );4510;1413;11;
FitnessWithCollisionDetectionAndCirclicValidation;MutateEM;CrossoverPBX;SelectionRouletteWheel;402;Genetic Algorithm;1;Octile;Never;Yes (5108ms );5108;897;13;
FitnessWithCollisionDetectionAndCirclicValidation;MutateEM;CrossoverPBX;SelectionRouletteWheel;192;Genetic Algorithm;1;Octile;Never;Yes (4560ms );4560;1767;20;
FitnessWithCollisionDetectionAndCirclicValidation;MutateEM;CrossoverPBX;SelectionRouletteWheel;102;Genetic Algorithm;1;Octile;Never;Yes (1947ms );1947;1416;16;
FitnessWithCirclicValidation;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;2;Manhattan;Never;No;11718;822;-1;
FitnessWithCirclicValidation;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;2;Manhattan;Never;No;14781;1106;-1;
FitnessWithCirclicValidation;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;2;Manhattan;Never;No;11072;804;-1;
