alg;map;heuristic;diagonal;solution;time;maxNodes;pathLength;
Dijkstra;4;Manhattan;IfAtMostOneObstacle;Yes (8983ms );8983;6335;101,154328932551;
Dijkstra;4;Euclidean;IfAtMostOneObstacle;Yes (8690ms );8690;6335;101,154328932551;
Dijkstra;4;Octile;IfAtMostOneObstacle;Yes (8958ms );8958;6335;101,154328932551;
Dijkstra;4;Chebyshev;IfAtMostOneObstacle;Yes (9133ms );9133;6335;101,154328932551;
A* (A Star);5;Manhattan;IfAtMostOneObstacle;Yes (3ms );3;145;26,2132034355964;
A* (A Star);5;Euclidean;IfAtMostOneObstacle;Yes (4ms );4;163;26,2132034355964;
A* (A Star);5;Octile;IfAtMostOneObstacle;Yes (3ms );3;156;26,2132034355964;
A* (A Star);5;Chebyshev;IfAtMostOneObstacle;Yes (4ms );4;167;26,2132034355964;
Best First Search;5;Manhattan;IfAtMostOneObstacle;Yes (0ms );0;70;26,2132034355964;
Best First Search;5;Euclidean;IfAtMostOneObstacle;Yes (0ms );0;71;26,2132034355964;
Best First Search;5;Octile;IfAtMostOneObstacle;Yes (0ms );0;71;26,2132034355964;
Best First Search;5;Chebyshev;IfAtMostOneObstacle;Yes (0ms );0;82;27,9705627484771;
Dijkstra;5;Manhattan;IfAtMostOneObstacle;Yes (34ms );34;402;26,2132034355964;
Dijkstra;5;Euclidean;IfAtMostOneObstacle;Yes (30ms );30;402;26,2132034355964;
Dijkstra;5;Octile;IfAtMostOneObstacle;Yes (29ms );29;402;26,2132034355964;
Dijkstra;5;Chebyshev;IfAtMostOneObstacle;Yes (28ms );28;402;26,2132034355964;
A* (A Star);6;Manhattan;IfAtMostOneObstacle;Yes (24ms );24;356;63,9411254969543;
A* (A Star);6;Euclidean;IfAtMostOneObstacle;Yes (81ms );81;639;63,1126983722081;
A* (A Star);6;Octile;IfAtMostOneObstacle;Yes (31ms );31;447;63,1126983722081;
A* (A Star);6;Chebyshev;IfAtMostOneObstacle;Yes (118ms );118;755;63,1126983722081;
Best First Search;6;Manhattan;IfAtMostOneObstacle;Yes (5ms );5;194;73,7401153701776;
Best First Search;6;Euclidean;IfAtMostOneObstacle;Yes (3ms );3;191;75,1543289325507;
Best First Search;6;Octile;IfAtMostOneObstacle;Yes (3ms );3;191;75,1543289325507;
Best First Search;6;Chebyshev;IfAtMostOneObstacle;Yes (7ms );7;232;78,7695526217004;
Dijkstra;6;Manhattan;IfAtMostOneObstacle;Yes (2275ms );2275;3320;63,1126983722081;
