alg;map;heuristic;diagonal;solution;time;maxNodes;pathLength;
A* (A Star);5;Octile;Never;Yes (37ms );37;622;49;
A* (A Star);5;Chebyshev;Never;Yes (60ms );60;788;49;
Best First Search;5;Manhattan;Never;Yes (1ms );1;148;67;
Best First Search;5;Euclidean;Never;Yes (1ms );1;127;55;
Best First Search;5;Octile;Never;Yes (1ms );1;118;49;
Best First Search;5;Chebyshev;Never;Yes (1ms );1;115;49;
IDA* (IDA Star);5;Manhattan;Never;Yes (0ms );0;0;51;
IDA* (IDA Star);5;Euclidean;Never;No;5001;0;-1;
IDA* (IDA Star);5;Octile;Never;No;5001;0;-1;
IDA* (IDA Star);5;Chebyshev;Never;No;5001;0;-1;
Dijkstra;5;Manhattan;Never;Yes (1096ms );1096;3280;49;
Dijkstra;5;Euclidean;Never;Yes (1103ms );1103;3280;49;
Dijkstra;5;Octile;Never;Yes (1098ms );1098;3280;49;
Dijkstra;5;Chebyshev;Never;Yes (1102ms );1102;3280;49;
A* (A Star);6;Manhattan;Never;Yes (0ms );0;62;19;
A* (A Star);6;Euclidean;Never;Yes (0ms );0;73;19;
A* (A Star);6;Octile;Never;Yes (0ms );0;64;19;
A* (A Star);6;Chebyshev;Never;Yes (1ms );1;109;19;
Best First Search;6;Manhattan;Never;Yes (0ms );0;72;19;
Best First Search;6;Euclidean;Never;Yes (0ms );0;45;19;
Best First Search;6;Octile;Never;Yes (0ms );0;45;19;
Best First Search;6;Chebyshev;Never;Yes (0ms );0;45;19;
IDA* (IDA Star);6;Manhattan;Never;Yes (0ms );0;0;19;
IDA* (IDA Star);6;Euclidean;Never;Yes (8ms );8;0;19;
IDA* (IDA Star);6;Octile;Never;Yes (0ms );0;0;19;
IDA* (IDA Star);6;Chebyshev;Never;Yes (1ms );1;0;19;
Dijkstra;6;Manhattan;Never;Yes (28ms );28;544;19;
Dijkstra;6;Euclidean;Never;Yes (28ms );28;544;19;
Dijkstra;6;Octile;Never;Yes (28ms );28;544;19;
Dijkstra;6;Chebyshev;Never;Yes (28ms );28;544;19;
A* (A Star);7;Manhattan;Never;Yes (145ms );145;1247;95;
A* (A Star);7;Euclidean;Never;Yes (313ms );313;1899;95;
A* (A Star);7;Octile;Never;Yes (289ms );289;1805;95;
A* (A Star);7;Chebyshev;Never;Yes (374ms );374;2025;95;
Best First Search;7;Manhattan;Never;Yes (5ms );5;250;115;
Best First Search;7;Euclidean;Never;Yes (4ms );4;223;103;
Best First Search;7;Octile;Never;Yes (4ms );4;223;103;
Best First Search;7;Chebyshev;Never;Yes (5ms );5;241;97;
IDA* (IDA Star);7;Manhattan;Never;No;5001;0;-1;
IDA* (IDA Star);7;Euclidean;Never;No;5001;0;-1;
IDA* (IDA Star);7;Octile;Never;No;5001;0;-1;
IDA* (IDA Star);7;Chebyshev;Never;No;5001;0;-1;
Dijkstra;7;Manhattan;Never;Yes (2408ms );2408;5112;95;
Dijkstra;7;Euclidean;Never;Yes (2400ms );2400;5112;95;
Dijkstra;7;Octile;Never;Yes (2415ms );2415;5112;95;
Dijkstra;7;Chebyshev;Never;Yes (2414ms );2414;5112;95;
A* (A Star);8;Manhattan;Never;Yes (8ms );8;312;52;
A* (A Star);8;Euclidean;Never;Yes (26ms );26;563;52;
A* (A Star);8;Octile;Never;Yes (21ms );21;513;52;
A* (A Star);8;Chebyshev;Never;Yes (40ms );40;693;52;
Best First Search;8;Manhattan;Never;Yes (1ms );1;113;60;
Best First Search;8;Euclidean;Never;Yes (0ms );0;85;52;
Best First Search;8;Octile;Never;Yes (0ms );0;85;52;
Best First Search;8;Chebyshev;Never;Yes (0ms );0;85;52;
IDA* (IDA Star);8;Manhattan;Never;Yes (1ms );1;0;52;
IDA* (IDA Star);8;Euclidean;Never;No;5001;0;-1;
IDA* (IDA Star);8;Octile;Never;No;5001;0;-1;
IDA* (IDA Star);8;Chebyshev;Never;No;5001;0;-1;
Dijkstra;8;Manhattan;Never;Yes (693ms );693;2820;52;
Dijkstra;8;Euclidean;Never;Yes (691ms );691;2820;52;
Dijkstra;8;Octile;Never;Yes (692ms );692;2820;52;
Dijkstra;8;Chebyshev;Never;Yes (688ms );688;2820;52;
A* (A Star);9;Manhattan;Never;Yes (348ms );348;1910;101;
A* (A Star);9;Euclidean;Never;Yes (788ms );788;2861;101;
A* (A Star);9;Octile;Never;Yes (681ms );681;2676;101;
A* (A Star);9;Chebyshev;Never;Yes (1021ms );1021;3235;101;
Best First Search;9;Manhattan;Never;Yes (5ms );5;257;117;
Best First Search;9;Euclidean;Never;Yes (3ms );3;183;101;
Best First Search;9;Octile;Never;Yes (2ms );2;183;101;
Best First Search;9;Chebyshev;Never;Yes (3ms );3;189;105;
IDA* (IDA Star);9;Manhattan;Never;Yes (0ms );0;0;105;
IDA* (IDA Star);9;Euclidean;Never;No;5001;0;-1;
IDA* (IDA Star);9;Octile;Never;No;5001;0;-1;
IDA* (IDA Star);9;Chebyshev;Never;No;5001;0;-1;
Dijkstra;9;Manhattan;Never;Yes (4703ms );4703;6728;101;
Dijkstra;9;Euclidean;Never;Yes (4719ms );4719;6728;101;
Dijkstra;9;Octile;Never;Yes (4733ms );4733;6728;101;
Dijkstra;9;Chebyshev;Never;Yes (4714ms );4714;6728;101;
A* (A Star);10;Manhattan;Never;Yes (21ms );21;476;56;
A* (A Star);10;Euclidean;Never;Yes (53ms );53;757;56;
A* (A Star);10;Octile;Never;Yes (38ms );38;646;56;
A* (A Star);10;Chebyshev;Never;Yes (99ms );99;994;56;
Best First Search;10;Manhattan;Never;Yes (1ms );1;116;56;
Best First Search;10;Euclidean;Never;Yes (1ms );1;114;56;
Best First Search;10;Octile;Never;Yes (1ms );1;114;56;
Best First Search;10;Chebyshev;Never;Yes (1ms );1;114;56;
IDA* (IDA Star);10;Manhattan;Never;No;5001;0;-1;
IDA* (IDA Star);10;Euclidean;Never;No;5001;0;-1;
IDA* (IDA Star);10;Octile;Never;No;5001;0;-1;
IDA* (IDA Star);10;Chebyshev;Never;No;5001;0;-1;
Dijkstra;10;Manhattan;Never;Yes (1793ms );1793;4238;56;
Dijkstra;10;Euclidean;Never;Yes (1792ms );1792;4238;56;
Dijkstra;10;Octile;Never;Yes (1785ms );1785;4238;56;
Dijkstra;10;Chebyshev;Never;Yes (1787ms );1787;4238;56;
A* (A Star);11;Manhattan;Never;Yes (33ms );33;633;69;
A* (A Star);11;Euclidean;Never;Yes (73ms );73;933;69;
A* (A Star);11;Octile;Never;Yes (62ms );62;872;69;
A* (A Star);11;Chebyshev;Never;Yes (99ms );99;1111;69;
Best First Search;11;Manhattan;Never;Yes (1ms );1;141;79;
Best First Search;11;Euclidean;Never;Yes (1ms );1;139;79;
Best First Search;11;Octile;Never;Yes (1ms );1;139;79;
Best First Search;11;Chebyshev;Never;Yes (2ms );2;144;81;
IDA* (IDA Star);11;Manhattan;Never;No;5001;0;-1;
IDA* (IDA Star);11;Euclidean;Never;No;5001;0;-1;
