alg;map;heuristic;diagonal;solution;time;maxNodes;pathLength;
IDA* (IDA Star);5;Octile;Never;Yes;250;0;24;
IDA* (IDA Star);5;Chebyshev;Never;No;1001;0;-1;
A* (A Star);6;Manhattan;Never;Yes;0;90;26;
A* (A Star);6;Euclidean;Never;Yes;1;121;26;
A* (A Star);6;Octile;Never;Yes;0;112;26;
A* (A Star);6;Chebyshev;Never;Yes;1;145;26;
Best First Search;6;Manhattan;Never;Yes;0;61;26;
Best First Search;6;Euclidean;Never;Yes;0;55;26;
Best First Search;6;Octile;Never;Yes;0;55;26;
Best First Search;6;Chebyshev;Never;Yes;0;60;26;
Dijkstra;6;Manhattan;Never;Yes;3;258;26;
Dijkstra;6;Euclidean;Never;Yes;4;258;26;
Dijkstra;6;Octile;Never;Yes;3;258;26;
Dijkstra;6;Chebyshev;Never;Yes;3;258;26;
IDA* (IDA Star);6;Manhattan;Never;Yes;0;0;26;
IDA* (IDA Star);6;Euclidean;Never;No;1001;0;-1;
IDA* (IDA Star);6;Octile;Never;Yes;306;0;26;
IDA* (IDA Star);6;Chebyshev;Never;No;1001;0;-1;
A* (A Star);7;Manhattan;Never;Yes;0;90;26;
A* (A Star);7;Euclidean;Never;Yes;1;121;26;
A* (A Star);7;Octile;Never;Yes;1;112;26;
A* (A Star);7;Chebyshev;Never;Yes;1;145;26;
Best First Search;7;Manhattan;Never;Yes;0;61;26;
Best First Search;7;Euclidean;Never;Yes;0;55;26;
Best First Search;7;Octile;Never;Yes;0;55;26;
Best First Search;7;Chebyshev;Never;Yes;0;60;26;
Dijkstra;7;Manhattan;Never;Yes;3;258;26;
Dijkstra;7;Euclidean;Never;Yes;3;258;26;
Dijkstra;7;Octile;Never;Yes;3;258;26;
Dijkstra;7;Chebyshev;Never;Yes;3;258;26;
IDA* (IDA Star);7;Manhattan;Never;Yes;0;0;26;
IDA* (IDA Star);7;Euclidean;Never;No;1001;0;-1;
IDA* (IDA Star);7;Octile;Never;Yes;307;0;26;
IDA* (IDA Star);7;Chebyshev;Never;No;1001;0;-1;
A* (A Star);8;Manhattan;Never;Yes;0;91;19;
A* (A Star);8;Euclidean;Never;Yes;0;100;19;
A* (A Star);8;Octile;Never;Yes;0;95;19;
A* (A Star);8;Chebyshev;Never;Yes;0;109;19;
Best First Search;8;Manhattan;Never;Yes;0;46;19;
Best First Search;8;Euclidean;Never;Yes;0;46;19;
Best First Search;8;Octile;Never;Yes;0;46;19;
Best First Search;8;Chebyshev;Never;Yes;0;46;19;
Dijkstra;8;Manhattan;Never;Yes;1;174;19;
Dijkstra;8;Euclidean;Never;Yes;1;174;19;
Dijkstra;8;Octile;Never;Yes;1;174;19;
Dijkstra;8;Chebyshev;Never;Yes;1;174;19;
IDA* (IDA Star);8;Manhattan;Never;Yes;791;0;19;
IDA* (IDA Star);8;Euclidean;Never;No;1001;0;-1;
IDA* (IDA Star);8;Octile;Never;No;1001;0;-1;
IDA* (IDA Star);8;Chebyshev;Never;No;1001;0;-1;
A* (A Star);9;Manhattan;Never;Yes;0;91;19;
A* (A Star);9;Euclidean;Never;Yes;0;100;19;
A* (A Star);9;Octile;Never;Yes;0;95;19;
A* (A Star);9;Chebyshev;Never;Yes;0;109;19;
Best First Search;9;Manhattan;Never;Yes;0;46;19;
Best First Search;9;Euclidean;Never;Yes;0;46;19;
Best First Search;9;Octile;Never;Yes;0;46;19;
Best First Search;9;Chebyshev;Never;Yes;0;46;19;
Dijkstra;9;Manhattan;Never;Yes;1;174;19;
Dijkstra;9;Euclidean;Never;Yes;1;174;19;
Dijkstra;9;Octile;Never;Yes;1;174;19;
Dijkstra;9;Chebyshev;Never;Yes;1;174;19;
IDA* (IDA Star);9;Manhattan;Never;Yes;795;0;19;
IDA* (IDA Star);9;Euclidean;Never;No;1001;0;-1;
IDA* (IDA Star);9;Octile;Never;No;1001;0;-1;
IDA* (IDA Star);9;Chebyshev;Never;No;1001;0;-1;
