Alg;Map;MapType;Heuristic;Diagonal;Solution;Time;MaxNodes;PathLength;
Best First Search;7;File;Octile;Never;Yes;0;99;22;
Best First Search;7;File;Chebyshev;Never;Yes;0;99;22;
Dijkstra;7;File;Manhattan;Never;Yes;1;218;18;
Dijkstra;7;File;Euclidean;Never;Yes;1;218;18;
Dijkstra;7;File;Octile;Never;Yes;1;218;18;
Dijkstra;7;File;Chebyshev;Never;Yes;1;218;18;
A* (A Star);8;File;Manhattan;Never;Yes;0;66;14;
A* (A Star);8;File;Euclidean;Never;Yes;0;72;14;
A* (A Star);8;File;Octile;Never;Yes;0;72;14;
A* (A Star);8;File;Chebyshev;Never;Yes;0;76;14;
Best First Search;8;File;Manhattan;Never;Yes;0;76;14;
Best First Search;8;File;Euclidean;Never;Yes;0;76;14;
Best First Search;8;File;Octile;Never;Yes;0;76;14;
Best First Search;8;File;Chebyshev;Never;Yes;0;76;16;
Dijkstra;8;File;Manhattan;Never;Yes;0;124;14;
Dijkstra;8;File;Euclidean;Never;Yes;0;124;14;
Dijkstra;8;File;Octile;Never;Yes;0;124;14;
Dijkstra;8;File;Chebyshev;Never;Yes;0;124;14;
A* (A Star);9;File;Manhattan;Never;Yes;0;20;9;
A* (A Star);9;File;Euclidean;Never;Yes;0;22;9;
A* (A Star);9;File;Octile;Never;Yes;0;22;9;
A* (A Star);9;File;Chebyshev;Never;Yes;0;31;9;
Best First Search;9;File;Manhattan;Never;Yes;0;31;9;
Best First Search;9;File;Euclidean;Never;Yes;0;31;9;
Best First Search;9;File;Octile;Never;Yes;0;31;9;
Best First Search;9;File;Chebyshev;Never;Yes;0;31;9;
Dijkstra;9;File;Manhattan;Never;Yes;0;65;9;
Dijkstra;9;File;Euclidean;Never;Yes;0;65;9;
Dijkstra;9;File;Octile;Never;Yes;0;65;9;
Dijkstra;9;File;Chebyshev;Never;Yes;0;65;9;
A* (A Star);10;File;Manhattan;Never;Yes;0;75;20;
A* (A Star);10;File;Euclidean;Never;Yes;0;87;20;
A* (A Star);10;File;Octile;Never;Yes;0;87;20;
A* (A Star);10;File;Chebyshev;Never;Yes;0;108;20;
Best First Search;10;File;Manhattan;Never;Yes;0;108;20;
Best First Search;10;File;Euclidean;Never;Yes;0;108;20;
Best First Search;10;File;Octile;Never;Yes;0;108;20;
Best First Search;10;File;Chebyshev;Never;Yes;0;108;20;
Dijkstra;10;File;Manhattan;Never;Yes;0;188;20;
Dijkstra;10;File;Euclidean;Never;Yes;0;188;20;
Dijkstra;10;File;Octile;Never;Yes;0;188;20;
Dijkstra;10;File;Chebyshev;Never;Yes;0;188;20;
A* (A Star);11;File;Manhattan;Never;Yes;0;53;16;
A* (A Star);11;File;Euclidean;Never;Yes;0;60;16;
A* (A Star);11;File;Octile;Never;Yes;0;60;16;
A* (A Star);11;File;Chebyshev;Never;Yes;0;66;16;
Best First Search;11;File;Manhattan;Never;Yes;0;66;16;
Best First Search;11;File;Euclidean;Never;Yes;0;66;16;
Best First Search;11;File;Octile;Never;Yes;0;66;16;
Best First Search;11;File;Chebyshev;Never;Yes;0;66;16;
Dijkstra;11;File;Manhattan;Never;Yes;0;111;16;
Dijkstra;11;File;Euclidean;Never;Yes;0;111;16;
Dijkstra;11;File;Octile;Never;Yes;0;111;16;
Dijkstra;11;File;Chebyshev;Never;Yes;0;111;16;
A* (A Star);12;File;Manhattan;Never;Yes;0;34;11;
A* (A Star);12;File;Euclidean;Never;Yes;0;37;11;
A* (A Star);12;File;Octile;Never;Yes;0;37;11;
A* (A Star);12;File;Chebyshev;Never;Yes;0;40;11;
Best First Search;12;File;Manhattan;Never;Yes;0;40;11;
Best First Search;12;File;Euclidean;Never;Yes;0;40;11;
Best First Search;12;File;Octile;Never;Yes;0;40;11;
Best First Search;12;File;Chebyshev;Never;Yes;0;40;11;
Dijkstra;12;File;Manhattan;Never;Yes;0;112;11;
Dijkstra;12;File;Euclidean;Never;Yes;0;112;11;
Dijkstra;12;File;Octile;Never;Yes;0;112;11;
Dijkstra;12;File;Chebyshev;Never;Yes;0;112;11;
A* (A Star);13;File;Manhattan;Never;Yes;0;42;15;
A* (A Star);13;File;Euclidean;Never;Yes;0;50;15;
A* (A Star);13;File;Octile;Never;Yes;0;50;15;
A* (A Star);13;File;Chebyshev;Never;Yes;0;69;15;
Best First Search;13;File;Manhattan;Never;Yes;0;69;17;
Best First Search;13;File;Euclidean;Never;Yes;0;69;17;
Best First Search;13;File;Octile;Never;Yes;0;69;17;
Best First Search;13;File;Chebyshev;Never;Yes;0;69;15;
Dijkstra;13;File;Manhattan;Never;Yes;0;187;15;
Dijkstra;13;File;Euclidean;Never;Yes;0;187;15;
Dijkstra;13;File;Octile;Never;Yes;0;187;15;
Dijkstra;13;File;Chebyshev;Never;Yes;0;187;15;
A* (A Star);14;File;Manhattan;Never;Yes;0;65;17;
A* (A Star);14;File;Euclidean;Never;Yes;0;76;17;
A* (A Star);14;File;Octile;Never;Yes;0;76;17;
A* (A Star);14;File;Chebyshev;Never;Yes;0;83;17;
Best First Search;14;File;Manhattan;Never;Yes;0;83;17;
Best First Search;14;File;Euclidean;Never;Yes;0;83;17;
Best First Search;14;File;Octile;Never;Yes;0;83;17;
Best First Search;14;File;Chebyshev;Never;Yes;0;83;17;
Dijkstra;14;File;Manhattan;Never;Yes;0;131;17;
Dijkstra;14;File;Euclidean;Never;Yes;0;131;17;
Dijkstra;14;File;Octile;Never;Yes;0;131;17;
Dijkstra;14;File;Chebyshev;Never;Yes;0;131;17;
A* (A Star);15;File;Manhattan;Never;Yes;0;45;17;
A* (A Star);15;File;Euclidean;Never;Yes;0;64;17;
A* (A Star);15;File;Octile;Never;Yes;0;64;17;
A* (A Star);15;File;Chebyshev;Never;Yes;0;83;17;
Best First Search;15;File;Manhattan;Never;Yes;0;83;17;
Best First Search;15;File;Euclidean;Never;Yes;0;83;17;
Best First Search;15;File;Octile;Never;Yes;0;83;17;
