Alg;Map;MapType;Heuristic;Diagonal;Solution;Time;MaxNodes;PathLength;
Best First Search;5;Random;Manhattan;Never;Yes;0;121;49;
Best First Search;5;Random;Euclidean;Never;Yes;0;123;55;
Best First Search;5;Random;Octile;Never;Yes;0;123;55;
Best First Search;5;Random;Chebyshev;Never;Yes;0;140;55;
IDA* (IDA Star);5;Random;Manhattan;Never;No;5001;0;-1;
IDA* (IDA Star);5;Random;Euclidean;Never;No;5001;0;-1;
IDA* (IDA Star);5;Random;Octile;Never;No;5001;0;-1;
IDA* (IDA Star);5;Random;Chebyshev;Never;No;5001;0;-1;
Dijkstra;5;Random;Manhattan;Never;Yes;38;1487;49;
Dijkstra;5;Random;Euclidean;Never;Yes;38;1487;49;
Dijkstra;5;Random;Octile;Never;Yes;39;1487;49;
Dijkstra;5;Random;Chebyshev;Never;Yes;37;1487;49;
A* (A Star);6;Random;Manhattan;Never;Yes;25;1124;105;
A* (A Star);6;Random;Euclidean;Never;Yes;62;1853;105;
A* (A Star);6;Random;Octile;Never;Yes;57;1746;105;
A* (A Star);6;Random;Chebyshev;Never;Yes;92;2234;105;
Best First Search;6;Random;Manhattan;Never;Yes;5;430;153;
Best First Search;6;Random;Euclidean;Never;Yes;1;237;113;
Best First Search;6;Random;Octile;Never;Yes;1;243;113;
Best First Search;6;Random;Chebyshev;Never;Yes;2;268;127;
IDA* (IDA Star);6;Random;Manhattan;Never;No;5001;0;-1;
IDA* (IDA Star);6;Random;Euclidean;Never;No;5001;0;-1;
IDA* (IDA Star);6;Random;Octile;Never;No;5001;0;-1;
IDA* (IDA Star);6;Random;Chebyshev;Never;No;5001;0;-1;
Dijkstra;6;Random;Manhattan;Never;Yes;353;4598;105;
Dijkstra;6;Random;Euclidean;Never;Yes;357;4598;105;
Dijkstra;6;Random;Octile;Never;Yes;356;4598;105;
Dijkstra;6;Random;Chebyshev;Never;Yes;354;4598;105;
A* (A Star);7;Random;Manhattan;Never;Yes;4;329;47;
A* (A Star);7;Random;Euclidean;Never;Yes;4;425;47;
A* (A Star);7;Random;Octile;Never;Yes;6;389;47;
A* (A Star);7;Random;Chebyshev;Never;Yes;6;503;47;
Best First Search;7;Random;Manhattan;Never;Yes;0;162;57;
Best First Search;7;Random;Euclidean;Never;Yes;0;96;49;
Best First Search;7;Random;Octile;Never;Yes;0;96;49;
Best First Search;7;Random;Chebyshev;Never;Yes;0;98;49;
IDA* (IDA Star);7;Random;Manhattan;Never;No;5001;0;-1;
IDA* (IDA Star);7;Random;Euclidean;Never;No;5001;0;-1;
