alg;map;heuristic;diagonal;solution;time;maxNodes;pathLength;
IDA* (IDA Star);3;Euclidean;IfAtMostOneObstacle;No;5001;0;-1;
IDA* (IDA Star);3;Octile;IfAtMostOneObstacle;No;5001;0;-1;
IDA* (IDA Star);3;Chebyshev;IfAtMostOneObstacle;No;5001;0;-1;
Dijkstra;3;Manhattan;IfAtMostOneObstacle;Yes (635ms );635;1906;35,2132034355964;
Dijkstra;3;Euclidean;IfAtMostOneObstacle;Yes (638ms );638;1906;35,2132034355964;
Dijkstra;3;Octile;IfAtMostOneObstacle;Yes (636ms );636;1906;35,2132034355964;
Dijkstra;3;Chebyshev;IfAtMostOneObstacle;Yes (636ms );636;1906;35,2132034355964;
A* (A Star);4;Manhattan;IfAtMostOneObstacle;Yes (1ms );1;116;46;
A* (A Star);4;Euclidean;IfAtMostOneObstacle;Yes (1ms );1;116;46;
A* (A Star);4;Octile;IfAtMostOneObstacle;Yes (1ms );1;116;46;
A* (A Star);4;Chebyshev;IfAtMostOneObstacle;Yes (1ms );1;116;46;
Best First Search;4;Manhattan;IfAtMostOneObstacle;Yes (1ms );1;116;46;
Best First Search;4;Euclidean;IfAtMostOneObstacle;Yes (1ms );1;116;46;
Best First Search;4;Octile;IfAtMostOneObstacle;Yes (1ms );1;116;46;
Best First Search;4;Chebyshev;IfAtMostOneObstacle;Yes (1ms );1;116;46;
IDA* (IDA Star);4;Manhattan;IfAtMostOneObstacle;Yes (0ms );0;0;46;
IDA* (IDA Star);4;Euclidean;IfAtMostOneObstacle;Yes (0ms );0;0;46;
IDA* (IDA Star);4;Octile;IfAtMostOneObstacle;Yes (0ms );0;0;46;
IDA* (IDA Star);4;Chebyshev;IfAtMostOneObstacle;Yes (0ms );0;0;46;
Dijkstra;4;Manhattan;IfAtMostOneObstacle;Yes (3719ms );3719;4279;46;
Dijkstra;4;Euclidean;IfAtMostOneObstacle;Yes (3699ms );3699;4279;46;
Dijkstra;4;Octile;IfAtMostOneObstacle;Yes (3757ms );3757;4279;46;
Dijkstra;4;Chebyshev;IfAtMostOneObstacle;Yes (3838ms );3838;4279;46;
A* (A Star);5;Manhattan;IfAtMostOneObstacle;Yes (47ms );47;556;66,3553390593273;
A* (A Star);5;Euclidean;IfAtMostOneObstacle;Yes (200ms );200;1086;66,3553390593273;
A* (A Star);5;Octile;IfAtMostOneObstacle;Yes (122ms );122;847;66,3553390593273;
A* (A Star);5;Chebyshev;IfAtMostOneObstacle;Yes (359ms );359;1443;66,3553390593273;
Best First Search;5;Manhattan;IfAtMostOneObstacle;Yes (3ms );3;171;69,7695526217004;
Best First Search;5;Euclidean;IfAtMostOneObstacle;Yes (5ms );5;224;86,5391052434009;
Best First Search;5;Octile;IfAtMostOneObstacle;Yes (3ms );3;172;66,3553390593273;
Best First Search;5;Chebyshev;IfAtMostOneObstacle;Yes (4ms );4;188;66,3553390593273;
IDA* (IDA Star);5;Manhattan;IfAtMostOneObstacle;No;5001;0;-1;
IDA* (IDA Star);5;Euclidean;IfAtMostOneObstacle;No;5001;0;-1;
IDA* (IDA Star);5;Octile;IfAtMostOneObstacle;No;5001;0;-1;
IDA* (IDA Star);5;Chebyshev;IfAtMostOneObstacle;No;5001;0;-1;
Dijkstra;5;Manhattan;IfAtMostOneObstacle;Yes (6610ms );6610;5732;66,3553390593273;
Dijkstra;5;Euclidean;IfAtMostOneObstacle;Yes (6656ms );6656;5732;66,3553390593273;
Dijkstra;5;Octile;IfAtMostOneObstacle;Yes (6615ms );6615;5732;66,3553390593273;
Dijkstra;5;Chebyshev;IfAtMostOneObstacle;Yes (6643ms );6643;5732;66,3553390593273;
A* (A Star);6;Manhattan;IfAtMostOneObstacle;Yes (3ms );3;186;67,9411254969543;
A* (A Star);6;Euclidean;IfAtMostOneObstacle;Yes (81ms );81;759;67,9411254969542;
A* (A Star);6;Octile;IfAtMostOneObstacle;Yes (43ms );43;563;67,9411254969542;
A* (A Star);6;Chebyshev;IfAtMostOneObstacle;Yes (175ms );175;1094;67,9411254969542;
Best First Search;6;Manhattan;IfAtMostOneObstacle;Yes (2ms );2;170;81,0538238691623;
Best First Search;6;Euclidean;IfAtMostOneObstacle;Yes (2ms );2;170;81,0538238691623;
Best First Search;6;Octile;IfAtMostOneObstacle;Yes (2ms );2;170;81,0538238691623;
Best First Search;6;Chebyshev;IfAtMostOneObstacle;Yes (3ms );3;171;79,112698372208;
IDA* (IDA Star);6;Manhattan;IfAtMostOneObstacle;No;5001;0;-1;
IDA* (IDA Star);6;Euclidean;IfAtMostOneObstacle;No;5001;0;-1;
IDA* (IDA Star);6;Octile;IfAtMostOneObstacle;No;5001;0;-1;
IDA* (IDA Star);6;Chebyshev;IfAtMostOneObstacle;No;5001;0;-1;
Dijkstra;6;Manhattan;IfAtMostOneObstacle;Yes (2233ms );2233;3750;67,9411254969542;
Dijkstra;6;Euclidean;IfAtMostOneObstacle;Yes (2219ms );2219;3750;67,9411254969542;
Dijkstra;6;Octile;IfAtMostOneObstacle;Yes (2219ms );2219;3750;67,9411254969542;
Dijkstra;6;Chebyshev;IfAtMostOneObstacle;Yes (2230ms );2230;3750;67,9411254969542;
A* (A Star);7;Manhattan;IfAtMostOneObstacle;Yes (2ms );2;124;47,2132034355964;
A* (A Star);7;Euclidean;IfAtMostOneObstacle;Yes (24ms );24;371;47,2132034355964;
A* (A Star);7;Octile;IfAtMostOneObstacle;Yes (7ms );7;237;47,2132034355964;
A* (A Star);7;Chebyshev;IfAtMostOneObstacle;Yes (32ms );32;432;47,2132034355964;
Best First Search;7;Manhattan;IfAtMostOneObstacle;Yes (1ms );1;119;51,3553390593274;
Best First Search;7;Euclidean;IfAtMostOneObstacle;Yes (1ms );1;119;51,3553390593274;
Best First Search;7;Octile;IfAtMostOneObstacle;Yes (1ms );1;119;51,3553390593274;
Best First Search;7;Chebyshev;IfAtMostOneObstacle;Yes (1ms );1;128;49,7989898732233;
IDA* (IDA Star);7;Manhattan;IfAtMostOneObstacle;Yes (0ms );0;0;49,7989898732233;
IDA* (IDA Star);7;Euclidean;IfAtMostOneObstacle;No;5001;0;-1;
IDA* (IDA Star);7;Octile;IfAtMostOneObstacle;Yes (0ms );0;0;49,7989898732233;
IDA* (IDA Star);7;Chebyshev;IfAtMostOneObstacle;No;5001;0;-1;
Dijkstra;7;Manhattan;IfAtMostOneObstacle;Yes (881ms );881;2153;47,2132034355964;
Dijkstra;7;Euclidean;IfAtMostOneObstacle;Yes (883ms );883;2153;47,2132034355964;
Dijkstra;7;Octile;IfAtMostOneObstacle;Yes (884ms );884;2153;47,2132034355964;
Dijkstra;7;Chebyshev;IfAtMostOneObstacle;Yes (885ms );885;2153;47,2132034355964;
A* (A Star);8;Manhattan;IfAtMostOneObstacle;Yes (12ms );12;331;113,568542494924;
A* (A Star);8;Euclidean;IfAtMostOneObstacle;Yes (1062ms );1062;2482;113,568542494924;
A* (A Star);8;Octile;IfAtMostOneObstacle;Yes (589ms );589;1896;113,568542494924;
A* (A Star);8;Chebyshev;IfAtMostOneObstacle;Yes (2011ms );2011;3345;113,568542494924;
Best First Search;8;Manhattan;IfAtMostOneObstacle;Yes (8ms );8;295;125,16652224137;
Best First Search;8;Euclidean;IfAtMostOneObstacle;Yes (8ms );8;296;125,994949366117;
Best First Search;8;Octile;IfAtMostOneObstacle;Yes (8ms );8;296;125,994949366117;
Best First Search;8;Chebyshev;IfAtMostOneObstacle;Yes (8ms );8;294;113,568542494924;
IDA* (IDA Star);8;Manhattan;IfAtMostOneObstacle;Yes (2ms );2;0;113,568542494924;
IDA* (IDA Star);8;Euclidean;IfAtMostOneObstacle;No;5001;0;-1;
IDA* (IDA Star);8;Octile;IfAtMostOneObstacle;No;5001;0;-1;
IDA* (IDA Star);8;Chebyshev;IfAtMostOneObstacle;No;5001;0;-1;
Dijkstra;8;Manhattan;IfAtMostOneObstacle;Yes (8011ms );8011;6301;113,568542494924;
Dijkstra;8;Euclidean;IfAtMostOneObstacle;Yes (7994ms );7994;6301;113,568542494924;
Dijkstra;8;Octile;IfAtMostOneObstacle;Yes (8160ms );8160;6301;113,568542494924;
Dijkstra;8;Chebyshev;IfAtMostOneObstacle;Yes (8006ms );8006;6301;113,568542494924;
A* (A Star);9;Manhattan;IfAtMostOneObstacle;Yes (4ms );4;211;77,1543289325507;
A* (A Star);9;Euclidean;IfAtMostOneObstacle;Yes (178ms );178;1036;75,7401153701776;
A* (A Star);9;Octile;IfAtMostOneObstacle;Yes (68ms );68;656;75,7401153701776;
A* (A Star);9;Chebyshev;IfAtMostOneObstacle;Yes (502ms );502;1698;75,7401153701776;
Best First Search;9;Manhattan;IfAtMostOneObstacle;Yes (4ms );4;213;89,4974746830583;
Best First Search;9;Euclidean;IfAtMostOneObstacle;Yes (3ms );3;193;77,3969696196699;
Best First Search;9;Octile;IfAtMostOneObstacle;Yes (3ms );3;193;77,3969696196699;
Best First Search;9;Chebyshev;IfAtMostOneObstacle;Yes (3ms );3;192;76,3259018078045;
IDA* (IDA Star);9;Manhattan;IfAtMostOneObstacle;Yes (0ms );0;0;86,0832611206852;
IDA* (IDA Star);9;Euclidean;IfAtMostOneObstacle;No;5001;0;-1;
IDA* (IDA Star);9;Octile;IfAtMostOneObstacle;No;5001;0;-1;
IDA* (IDA Star);9;Chebyshev;IfAtMostOneObstacle;No;5001;0;-1;
Dijkstra;9;Manhattan;IfAtMostOneObstacle;Yes (11065ms );11065;7362;75,7401153701776;
Dijkstra;9;Euclidean;IfAtMostOneObstacle;Yes (11122ms );11122;7362;75,7401153701776;
