Fitness;Mutation;Crossover;Selection;Generations;Alg;Map;MapType;Heuristic;Diagonal;Solution;Time;MaxNodes;PathLength;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;34;Genetic Algorithm;37;Random;Chebyshev;OnlyWhenNoObstacles;Yes;961;737;9,4142135623731;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;38;Random;Manhattan;OnlyWhenNoObstacles;No;14866;1149;-1;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;38;Random;Euclidean;OnlyWhenNoObstacles;No;12067;1074;-1;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;628;Genetic Algorithm;38;Random;Octile;OnlyWhenNoObstacles;Yes;18274;1989;18,0710678118655;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;38;Random;Chebyshev;OnlyWhenNoObstacles;No;39325;1544;-1;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;39;Random;Manhattan;OnlyWhenNoObstacles;No;7863;965;-1;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;39;Random;Euclidean;OnlyWhenNoObstacles;No;16319;914;-1;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;39;Random;Octile;OnlyWhenNoObstacles;No;18302;1021;-1;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;39;Random;Chebyshev;OnlyWhenNoObstacles;No;8003;915;-1;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;40;Random;Manhattan;OnlyWhenNoObstacles;No;42416;1291;-1;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;40;Random;Euclidean;OnlyWhenNoObstacles;No;7093;1416;-1;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;40;Random;Octile;OnlyWhenNoObstacles;No;6887;572;-1;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;552;Genetic Algorithm;40;Random;Chebyshev;OnlyWhenNoObstacles;Yes;21285;2349;16,8284271247462;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;41;Random;Manhattan;OnlyWhenNoObstacles;No;20864;1091;-1;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;41;Random;Euclidean;OnlyWhenNoObstacles;No;46773;1464;-1;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;41;Random;Octile;OnlyWhenNoObstacles;No;17603;1299;-1;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;41;Random;Chebyshev;OnlyWhenNoObstacles;No;42021;1948;-1;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;42;Random;Manhattan;OnlyWhenNoObstacles;No;8852;616;-1;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;338;Genetic Algorithm;42;Random;Euclidean;OnlyWhenNoObstacles;Yes;8753;1056;8,4142135623731;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;42;Random;Octile;OnlyWhenNoObstacles;No;8712;649;-1;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;820;Genetic Algorithm;42;Random;Chebyshev;OnlyWhenNoObstacles;Yes;36582;1720;18,0710678118655;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;98;Genetic Algorithm;43;Random;Manhattan;OnlyWhenNoObstacles;Yes;2640;965;12,2426406871193;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;87;Genetic Algorithm;43;Random;Euclidean;OnlyWhenNoObstacles;Yes;2235;987;9,82842712474619;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;120;Genetic Algorithm;43;Random;Octile;OnlyWhenNoObstacles;Yes;3103;1017;14,8284271247462;
