Alg;Map;MapType;Heuristic;Diagonal;Solution;Time;MaxNodes;PathLength;
A* (A Star);0;File;Manhattan;Never;Yes;11;135;40;
A* (A Star);0;File;Euclidean;Never;Yes;3;235;40;
A* (A Star);0;File;Octile;Never;Yes;2;235;40;
A* (A Star);0;File;Chebyshev;Never;Yes;2;289;40;
Best First Search;0;File;Manhattan;Never;Yes;0;289;40;
Best First Search;0;File;Euclidean;Never;Yes;0;289;44;
Best First Search;0;File;Octile;Never;Yes;0;289;44;
Best First Search;0;File;Chebyshev;Never;Yes;0;289;44;
Dijkstra;0;File;Manhattan;Never;Yes;52;1583;40;
Dijkstra;0;File;Euclidean;Never;Yes;85;1583;40;
Dijkstra;0;File;Octile;Never;Yes;49;1583;40;
Dijkstra;0;File;Chebyshev;Never;Yes;55;1583;40;
A* (A Star);1;File;Manhattan;Never;Yes;5;252;39;
A* (A Star);1;File;Euclidean;Never;Yes;6;337;39;
A* (A Star);1;File;Octile;Never;Yes;2;337;39;
A* (A Star);1;File;Chebyshev;Never;Yes;4;413;39;
Best First Search;1;File;Manhattan;Never;Yes;0;413;39;
Best First Search;1;File;Euclidean;Never;Yes;0;413;39;
Best First Search;1;File;Octile;Never;Yes;0;413;39;
Best First Search;1;File;Chebyshev;Never;Yes;0;413;39;
Dijkstra;1;File;Manhattan;Never;Yes;60;1623;39;
Dijkstra;1;File;Euclidean;Never;Yes;67;1623;39;
Dijkstra;1;File;Octile;Never;Yes;93;1623;39;
Dijkstra;1;File;Chebyshev;Never;Yes;48;1623;39;
A* (A Star);2;File;Manhattan;Never;Yes;6;493;55;
A* (A Star);2;File;Euclidean;Never;Yes;10;581;55;
A* (A Star);2;File;Octile;Never;Yes;7;581;55;
A* (A Star);2;File;Chebyshev;Never;Yes;10;645;55;
Best First Search;2;File;Manhattan;Never;Yes;0;645;63;
Best First Search;2;File;Euclidean;Never;Yes;0;645;63;
Best First Search;2;File;Octile;Never;Yes;0;645;63;
Best First Search;2;File;Chebyshev;Never;Yes;0;645;55;
Dijkstra;2;File;Manhattan;Never;Yes;65;1714;55;
Dijkstra;2;File;Euclidean;Never;Yes;59;1714;55;
Dijkstra;2;File;Octile;Never;Yes;58;1714;55;
Dijkstra;2;File;Chebyshev;Never;Yes;55;1714;55;
A* (A Star);3;File;Manhattan;Never;Yes;49;1288;93;
A* (A Star);3;File;Euclidean;Never;Yes;82;1830;93;
A* (A Star);3;File;Octile;Never;Yes;73;1830;93;
A* (A Star);3;File;Chebyshev;Never;Yes;108;2226;93;
Best First Search;3;File;Manhattan;Never;Yes;3;2226;145;
Best First Search;3;File;Euclidean;Never;Yes;1;2226;93;
Best First Search;3;File;Octile;Never;Yes;1;2226;93;
Best First Search;3;File;Chebyshev;Never;Yes;1;2226;93;
Dijkstra;3;File;Manhattan;Never;Yes;629;5887;93;
Dijkstra;3;File;Euclidean;Never;Yes;593;5887;93;
Dijkstra;3;File;Octile;Never;Yes;563;5887;93;
Dijkstra;3;File;Chebyshev;Never;Yes;568;5887;93;
A* (A Star);4;File;Manhattan;Never;Yes;5;265;41;
A* (A Star);4;File;Euclidean;Never;Yes;4;401;41;
A* (A Star);4;File;Octile;Never;Yes;4;401;41;
A* (A Star);4;File;Chebyshev;Never;Yes;7;528;41;
Best First Search;4;File;Manhattan;Never;Yes;0;528;41;
Best First Search;4;File;Euclidean;Never;Yes;0;528;41;
Best First Search;4;File;Octile;Never;Yes;0;528;41;
Best First Search;4;File;Chebyshev;Never;Yes;0;528;43;
Dijkstra;4;File;Manhattan;Never;Yes;52;1650;41;
Dijkstra;4;File;Euclidean;Never;Yes;78;1650;41;
Dijkstra;4;File;Octile;Never;Yes;71;1650;41;
Dijkstra;4;File;Chebyshev;Never;Yes;55;1650;41;
A* (A Star);5;File;Manhattan;Never;Yes;18;819;83;
A* (A Star);5;File;Euclidean;Never;Yes;66;1566;83;
A* (A Star);5;File;Octile;Never;Yes;50;1566;83;
A* (A Star);5;File;Chebyshev;Never;Yes;91;1971;83;
Best First Search;5;File;Manhattan;Never;Yes;3;1971;101;
Best First Search;5;File;Euclidean;Never;Yes;1;1971;83;
Best First Search;5;File;Octile;Never;Yes;1;1971;83;
Best First Search;5;File;Chebyshev;Never;Yes;0;1971;89;
Dijkstra;5;File;Manhattan;Never;Yes;689;6527;83;
Dijkstra;5;File;Euclidean;Never;Yes;685;6527;83;
Dijkstra;5;File;Octile;Never;Yes;697;6527;83;
Dijkstra;5;File;Chebyshev;Never;Yes;683;6527;83;
A* (A Star);6;File;Manhattan;Never;Yes;1;161;44;
A* (A Star);6;File;Euclidean;Never;Yes;2;322;44;
A* (A Star);6;File;Octile;Never;Yes;3;322;44;
A* (A Star);6;File;Chebyshev;Never;Yes;6;396;44;
Best First Search;6;File;Manhattan;Never;Yes;0;396;44;
Best First Search;6;File;Euclidean;Never;Yes;0;396;46;
Best First Search;6;File;Octile;Never;Yes;0;396;46;
Best First Search;6;File;Chebyshev;Never;Yes;0;396;46;
Dijkstra;6;File;Manhattan;Never;Yes;127;2592;44;
Dijkstra;6;File;Euclidean;Never;Yes;112;2592;44;
Dijkstra;6;File;Octile;Never;Yes;143;2592;44;
Dijkstra;6;File;Chebyshev;Never;Yes;115;2592;44;
A* (A Star);7;File;Manhattan;Never;Yes;4;360;65;
A* (A Star);7;File;Euclidean;Never;Yes;6;433;65;
A* (A Star);7;File;Octile;Never;Yes;5;433;65;
A* (A Star);7;File;Chebyshev;Never;Yes;6;482;65;
Best First Search;7;File;Manhattan;Never;Yes;0;482;65;
Best First Search;7;File;Euclidean;Never;Yes;0;482;65;
Best First Search;7;File;Octile;Never;Yes;0;482;65;
Best First Search;7;File;Chebyshev;Never;Yes;1;482;65;
Dijkstra;7;File;Manhattan;Never;Yes;469;5109;65;
Dijkstra;7;File;Euclidean;Never;Yes;456;5109;65;
Dijkstra;7;File;Octile;Never;Yes;495;5109;65;
Dijkstra;7;File;Chebyshev;Never;Yes;478;5109;65;
A* (A Star);8;File;Manhattan;Never;Yes;104;1844;104;
A* (A Star);8;File;Euclidean;Never;Yes;108;2278;104;
A* (A Star);8;File;Octile;Never;Yes;105;2278;104;
A* (A Star);8;File;Chebyshev;Never;Yes;124;2327;104;
Best First Search;8;File;Manhattan;Never;Yes;2;2327;132;
Best First Search;8;File;Euclidean;Never;Yes;6;2327;128;
Best First Search;8;File;Octile;Never;Yes;4;2327;104;
Best First Search;8;File;Chebyshev;Never;Yes;2;2327;104;
Dijkstra;8;File;Manhattan;Never;Yes;468;5306;104;
Dijkstra;8;File;Euclidean;Never;Yes;491;5306;104;
Dijkstra;8;File;Octile;Never;Yes;498;5306;104;
Dijkstra;8;File;Chebyshev;Never;Yes;472;5306;104;
A* (A Star);9;File;Manhattan;Never;Yes;52;1364;101;
A* (A Star);9;File;Euclidean;Never;Yes;54;1727;101;
A* (A Star);9;File;Octile;Never;Yes;47;1727;101;
A* (A Star);9;File;Chebyshev;Never;Yes;76;1964;101;
Best First Search;9;File;Manhattan;Never;Yes;1;1964;103;
Best First Search;9;File;Euclidean;Never;Yes;1;1964;103;
Best First Search;9;File;Octile;Never;Yes;1;1964;103;
Best First Search;9;File;Chebyshev;Never;Yes;1;1964;103;
Dijkstra;9;File;Manhattan;Never;Yes;339;4879;101;
Dijkstra;9;File;Euclidean;Never;Yes;336;4879;101;
Dijkstra;9;File;Octile;Never;Yes;346;4879;101;
Dijkstra;9;File;Chebyshev;Never;Yes;344;4879;101;
A* (A Star);10;File;Manhattan;Never;Yes;16;812;72;
A* (A Star);10;File;Euclidean;Never;Yes;40;1257;72;
A* (A Star);10;File;Octile;Never;Yes;33;1257;72;
A* (A Star);10;File;Chebyshev;Never;Yes;50;1484;72;
Best First Search;10;File;Manhattan;Never;Yes;0;1484;90;
Best First Search;10;File;Euclidean;Never;Yes;0;1484;72;
Best First Search;10;File;Octile;Never;Yes;0;1484;72;
Best First Search;10;File;Chebyshev;Never;Yes;0;1484;72;
