Fitness;Mutation;Crossover;Selection;Generations;Alg;Map;MapType;Heuristic;Diagonal;Solution;Time;MaxNodes;PathLength;
FitnessHeuristic;MutateDIVM;CrossoverOBX;SelectionRouletteWheel;89;Genetic Algorithm;0;WithPattern;Manhattan;IfAtMostOneObstacle;Yes;18682;8107;103,468037431535;
FitnessHeuristic;MutateDIVM;CrossoverOBX;SelectionRouletteWheel;164;Genetic Algorithm;0;WithPattern;Manhattan;IfAtMostOneObstacle;Yes;35747;9463;121,024386617639;
FitnessHeuristic;MutateDIVM;CrossoverOBX;SelectionRouletteWheel;135;Genetic Algorithm;0;WithPattern;Manhattan;IfAtMostOneObstacle;Yes;29416;8947;109,225396744416;
FitnessHeuristic;MutateDIVM;CrossoverOBX;SelectionRouletteWheel;130;Genetic Algorithm;0;WithPattern;Manhattan;IfAtMostOneObstacle;Yes;30060;9369;119,124891681028;
FitnessWithCollisionDetection;MutateDIVM;CrossoverOBX;SelectionRouletteWheel;1000;Genetic Algorithm;0;WithPattern;Manhattan;IfAtMostOneObstacle;No;200944;5311;-1;
FitnessWithCollisionDetection;MutateDIVM;CrossoverOBX;SelectionRouletteWheel;1000;Genetic Algorithm;0;WithPattern;Manhattan;IfAtMostOneObstacle;No;190194;5098;-1;
FitnessWithCollisionDetection;MutateDIVM;CrossoverOBX;SelectionRouletteWheel;1000;Genetic Algorithm;0;WithPattern;Manhattan;IfAtMostOneObstacle;No;235455;8024;-1;
FitnessWithCollisionDetection;MutateDIVM;CrossoverOBX;SelectionRouletteWheel;1000;Genetic Algorithm;0;WithPattern;Manhattan;IfAtMostOneObstacle;No;110315;2948;-1;
FitnessWithCirclicValidation;MutateDIVM;CrossoverOBX;SelectionRouletteWheel;401;Genetic Algorithm;0;WithPattern;Manhattan;IfAtMostOneObstacle;Yes;140598;17592;213,79393923934;
FitnessWithCirclicValidation;MutateDIVM;CrossoverOBX;SelectionRouletteWheel;366;Genetic Algorithm;0;WithPattern;Manhattan;IfAtMostOneObstacle;Yes;123315;17105;212,521861300698;
FitnessWithCirclicValidation;MutateDIVM;CrossoverOBX;SelectionRouletteWheel;330;Genetic Algorithm;0;WithPattern;Manhattan;IfAtMostOneObstacle;Yes;93370;14603;172,923881554251;
FitnessWithCirclicValidation;MutateDIVM;CrossoverOBX;SelectionRouletteWheel;310;Genetic Algorithm;0;WithPattern;Manhattan;IfAtMostOneObstacle;Yes;70907;12581;144,78174593052;
FitnessHeuristic;MutateDM;CrossoverOBX;SelectionRouletteWheel;135;Genetic Algorithm;0;WithPattern;Manhattan;IfAtMostOneObstacle;Yes;29712;9241;112,39696961967;
FitnessHeuristic;MutateDM;CrossoverOBX;SelectionRouletteWheel;191;Genetic Algorithm;0;WithPattern;Manhattan;IfAtMostOneObstacle;Yes;30051;7894;98,9827560572968;
FitnessHeuristic;MutateDM;CrossoverOBX;SelectionRouletteWheel;107;Genetic Algorithm;0;WithPattern;Manhattan;IfAtMostOneObstacle;Yes;24323;8828;109,468037431535;
FitnessHeuristic;MutateDM;CrossoverOBX;SelectionRouletteWheel;131;Genetic Algorithm;0;WithPattern;Manhattan;IfAtMostOneObstacle;Yes;42663;12357;150,681240867132;
FitnessWithCollisionDetection;MutateDM;CrossoverOBX;SelectionRouletteWheel;1000;Genetic Algorithm;0;WithPattern;Manhattan;IfAtMostOneObstacle;No;51662;2779;-1;
FitnessWithCollisionDetection;MutateDM;CrossoverOBX;SelectionRouletteWheel;261;Genetic Algorithm;0;WithPattern;Manhattan;IfAtMostOneObstacle;Yes;65893;13141;160,681240867132;
FitnessWithCollisionDetection;MutateDM;CrossoverOBX;SelectionRouletteWheel;1000;Genetic Algorithm;0;WithPattern;Manhattan;IfAtMostOneObstacle;No;171983;5132;-1;
FitnessWithCollisionDetection;MutateDM;CrossoverOBX;SelectionRouletteWheel;1000;Genetic Algorithm;0;WithPattern;Manhattan;IfAtMostOneObstacle;No;199626;6542;-1;
